componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,3,1,0,2,0,0.3333333333333333,0.0,0.3333333333333333,,0.35749999999999993,
FPC 2,3,1,0,2,0,0.3333333333333333,0.0,0.3333333333333333,,0.3481666666666667,
FPC 3,3,0,0,3,0,0.0,0.0,0.0,,0.025250000000000012,
