componente,param,variable,ess_min,ess_mean,geweke_max,rhat,converge
1,beta_j,fpc_1_lag1,989.729451595543,1220.7889530320351,3.089136678405266,1.000614060032224,False
1,beta_j,fpc_2_lag1,1171.943443119302,1390.6478143731008,1.9549585254889643,0.9999620172062282,True
1,beta_j,fpc_3_lag1,969.3353771800588,1323.111792393353,0.6772727384637031,0.999860182923141,True
1,beta_j,fpc_4_lag1,1076.1969877469885,1241.0901613414114,0.7682982867577182,0.9996725474243758,True
1,beta_j,fpc_5_lag1,871.2905399875526,1254.190875915917,0.8913116278642987,0.9999759075321851,True
1,beta_j,fpc_1_lag2,811.931429549833,1051.0915766313456,1.6243438869554296,0.9999949602602861,True
1,beta_j,fpc_2_lag2,1398.5741144786143,1441.9857077791594,0.6442046063504092,0.9997537332536771,True
1,beta_j,fpc_3_lag2,1405.7014638499654,1468.5671546166552,0.8378830712085035,0.999952506676562,True
1,beta_j,fpc_4_lag2,1080.8113167771799,1294.7105826476259,1.1641300919574769,0.9997158436956665,True
1,beta_j,fpc_5_lag2,1169.9120118005926,1389.9706706001973,1.0839538004586886,0.9997518117174101,True
1,beta_j,fpc_1_lag3,684.4671183241214,1198.6204921719323,0.7298716771499942,1.0000855948700678,True
1,beta_j,fpc_2_lag3,952.1165483940543,1317.3721827980182,0.723966686593426,1.0003832899500582,True
1,beta_j,fpc_3_lag3,1411.5586908659322,1470.5195636219776,1.5133136108629721,0.9997149749258718,True
1,beta_j,fpc_4_lag3,524.0335702293364,1048.0247940537317,0.4443905999156279,0.9997798679193978,True
1,beta_j,fpc_5_lag3,1160.5841902149218,1386.8613967383073,1.1506371612928206,1.000303597364405,True
1,p_j,fpc_1_lag1,159.37312933568637,195.7784408071144,1.0706770172170414,1.0055450885842805,True
1,p_j,fpc_2_lag1,99.65069504972047,145.70480610408927,0.3713590968671635,1.0004185876689566,False
1,p_j,fpc_3_lag1,41.54404856277398,71.64560715002692,0.373273392746619,1.0035891092792022,False
1,p_j,fpc_4_lag1,29.943985661905863,81.61673262251223,1.2671766128934532,1.0075477779755524,False
1,p_j,fpc_5_lag1,92.73987279375059,115.5370927386906,1.304528875719231,0.9998681956303916,False
1,p_j,fpc_1_lag2,94.30346848012054,122.05059427733029,1.0898532271941026,1.0032560623839857,False
1,p_j,fpc_2_lag2,51.129593529722925,75.14754881941417,2.79369836397289,1.001592429393499,False
1,p_j,fpc_3_lag2,22.73613560321328,90.07155922436216,1.6579146786162273,1.0106315109397044,False
1,p_j,fpc_4_lag2,55.744154356890654,106.84334081555899,1.8183527923559972,1.0006616183318917,False
1,p_j,fpc_5_lag2,39.45604442624963,94.5746697597242,0.9636449541780455,1.0373328930320997,False
1,p_j,fpc_1_lag3,109.38444785822767,153.95495569680668,1.1530446494840871,1.0044200434268484,True
1,p_j,fpc_2_lag3,69.47743850109441,89.46739566150156,1.0706640780630428,1.0176905944967247,False
1,p_j,fpc_3_lag3,48.84856725893212,128.6393992777562,1.592861261978511,0.9996983830229961,False
1,p_j,fpc_4_lag3,99.39340290810901,103.55619788272823,2.372297988669041,1.0054095085272208,False
1,p_j,fpc_5_lag3,94.25811189940772,107.42536983160663,1.3462897911122653,1.0073783921528325,False
2,beta_j,fpc_1_lag1,1142.0969283661761,1380.6989761220586,1.6122210277286724,0.9997718385198741,True
2,beta_j,fpc_2_lag1,583.1805860442706,1171.3595558484235,,1.0020058218075172,False
2,beta_j,fpc_3_lag1,1184.6358738537997,1353.7688039999055,0.984192135615973,0.9999093720332066,True
2,beta_j,fpc_4_lag1,520.2556373480036,1124.5157588975223,1.177348037703113,1.0002252833577967,True
2,beta_j,fpc_5_lag1,678.3900761237905,1222.1052460366564,1.4899557410311621,0.9997698165912501,True
2,beta_j,fpc_1_lag2,1208.4470695796783,1402.8156898598927,1.4763269385183642,1.000271981651637,True
2,beta_j,fpc_2_lag2,1500.0,1500.0,1.1442566649466066,0.9998662065532734,True
2,beta_j,fpc_3_lag2,1004.4748202466304,1169.982306602163,0.2674934255901021,1.0001044743518295,True
2,beta_j,fpc_4_lag2,785.0010083965856,1086.293494783825,0.5223749160692123,0.9996993028037955,True
2,beta_j,fpc_5_lag2,1243.5948188864097,1303.0399256627381,1.088313836680699,0.9998731185155484,True
2,beta_j,fpc_1_lag3,1149.8191954439092,1271.5815085431975,2.0809977188890674,1.0000009251276574,False
2,beta_j,fpc_2_lag3,637.2393055848913,1212.4131018616306,1.9944473329701378,0.9997184181152619,True
2,beta_j,fpc_3_lag3,1031.3763889580841,1343.7921296526947,1.4329704571331618,1.0004990767958388,True
2,beta_j,fpc_4_lag3,776.4734435853883,1142.9004651963485,0.2682800904404497,0.9997704466763713,True
2,beta_j,fpc_5_lag3,1029.8498322295272,1343.2832774098424,0.9671165851675685,1.000375669736026,True
2,p_j,fpc_1_lag1,65.16679125939928,118.54646434574444,1.1413639865217124,1.0008468165700306,False
2,p_j,fpc_2_lag1,117.94335130628033,579.5518696552662,,3.450469046153464,False
2,p_j,fpc_3_lag1,75.30251831933161,129.59828679936723,1.37536028014679,1.002104797248796,False
2,p_j,fpc_4_lag1,82.25130802861518,144.1055407041197,2.182675760888411,1.0150199248781604,False
2,p_j,fpc_5_lag1,44.48129308613093,86.56792569583867,1.495906518433575,1.005458948417189,False
2,p_j,fpc_1_lag2,85.21049776734108,178.8104020146437,1.8511519402447894,1.0027739580215147,False
2,p_j,fpc_2_lag2,96.48363704092807,109.69284442936305,1.685173547293448,1.0003155157140222,False
2,p_j,fpc_3_lag2,83.45397029422031,140.45144564979006,2.7347404248137823,1.0088022035476245,False
2,p_j,fpc_4_lag2,67.54336405377022,117.97679165515451,2.0212846410689527,1.002717820549664,False
2,p_j,fpc_5_lag2,73.55786625496869,122.01365208261966,2.118387575814895,1.0024855291730945,False
2,p_j,fpc_1_lag3,123.46011329710176,138.29786044738418,1.125222304546327,1.0080998444152032,True
2,p_j,fpc_2_lag3,83.8868766317205,158.34806445789079,0.7569382028431404,1.0140712400749485,False
2,p_j,fpc_3_lag3,58.935498700411046,112.99983746367904,1.6260729785411905,1.0029625027925932,False
2,p_j,fpc_4_lag3,90.87168504189785,120.30333873200163,2.608265208899155,1.002181816707509,False
2,p_j,fpc_5_lag3,124.25458957739389,162.0689335694898,1.3518866622055155,1.0059700710878934,True
3,beta_j,fpc_1_lag1,1116.772926373176,1372.257642124392,0.6093532178346922,0.9998052087986173,True
3,beta_j,fpc_2_lag1,1321.8666945305595,1422.956664957889,0.8653702739548184,0.9997050977175356,True
3,beta_j,fpc_3_lag1,1412.8229389896171,1470.9409796632056,1.207074585090879,0.9999638481198198,True
3,beta_j,fpc_4_lag1,1308.2651276198428,1436.088375873281,0.88010196999398,1.000605665440717,True
3,beta_j,fpc_5_lag1,981.9143989198237,1168.4013224786547,0.6749715774425512,0.9998000709142417,True
3,beta_j,fpc_1_lag2,884.5545701438745,1229.3894433166383,1.6404053266006329,0.9997631199421209,True
3,beta_j,fpc_2_lag2,953.7659810128677,1203.4074554446659,1.400971798315427,1.000211544013792,True
3,beta_j,fpc_3_lag2,916.9689945959881,1305.656331531996,1.604627372230368,0.9998353675006126,True
3,beta_j,fpc_4_lag2,1269.674265175572,1423.2247550585241,0.9557720865751506,0.9998587527859576,True
