M,experiment_id,p_covariables,n_variables_diag,rhat_max,ess_min,geweke_max,n_no_converge,converge,ocupacion_media,ocupacion_max,N_trunc,toca_truncamiento,pip_sd_max,contrato_ok,pip_media_activas
1,escenario_50_c_1_r01_m01,1,2,1.0974734063347433,116.15219110010314,0.6755528412664152,0,True,8.796666666666667,25,35,False,0.0,True,1.0
2,escenario_50_c_1_r01_m02,2,8,1.3402400030985138,8.95448730624596,3.5140655086318384,4,False,8.021166666666666,32,35,False,0.02027039439401433,True,0.5295
3,escenario_50_c_1_r01_m03,3,18,1.5126474989562975,13.598379372927313,4.3059071224196686,11,False,8.409777777777778,33,35,False,0.04431202495435697,True,0.3812222222222222
4,escenario_50_c_1_r01_m04,4,32,1.165573701199774,8.741519606057983,2.9689392995378867,14,False,6.967666666666667,35,35,True,0.04902607016226731,True,0.309875
