-3.198194106065654907e-01,-4.015398815127352306e-01,1.635777662853954650e+00,1.925028338792486693e+00,1.407279675291269072e+00
-3.752720701639923329e-01,-4.165790233906564444e-01,1.710140504215670099e+00,1.557747408000427658e+00,1.602999716287389020e+00
-4.187093964770287613e-01,-4.568977734008188851e-01,1.717723053254851973e+00,1.409893748966428273e+00,1.485315691832799656e+00
-4.516256495834555240e-01,-5.219480685306349121e-01,1.662412197097247635e+00,1.464556029858552488e+00,1.072610925021137529e+00
-5.011565917693756589e-01,-6.017770844715119027e-01,1.614793805946430405e+00,1.414624464608834398e+00,6.987265632328500953e-01
-5.774034208901883680e-01,-6.926799152583568153e-01,1.601143236772452738e+00,1.145778450033383855e+00,4.879338705809221910e-01
-6.706074643891779541e-01,-7.865710085222328285e-01,1.609459174256465008e+00,7.112365169562712142e-01,4.009603354242577411e-01
-7.335367470918396915e-01,-8.443162907974841591e-01,1.581655252255234734e+00,3.685763545659972995e-01,2.477270014199509374e-01
-7.599457185618750943e-01,-8.607410085679908507e-01,1.510050628964697550e+00,1.518578225899670231e-01,3.099461117700043258e-03
-7.761220649359830137e-01,-8.632603983974610484e-01,1.395825771092566114e+00,-1.053713881442312587e-02,-3.250801547241480294e-01
-8.304351287056883635e-01,-9.023184955631167181e-01,1.241152737381028937e+00,-2.503857597575639415e-01,-7.223823255102350682e-01
-9.235405102995160043e-01,-9.784275289803570086e-01,1.046522763482892193e+00,-5.692823264797064464e-01,-1.185940315885490870e+00
-1.017035229073995684e+00,-1.034902585575722345e+00,8.550054968943915368e-01,-8.439945320959029162e-01,-1.468108263750460107e+00
-1.085581235944776068e+00,-1.034343310331672372e+00,6.950180246233540471e-01,-9.932144627851552388e-01,-1.405490961121996785e+00
-1.131082747908888964e+00,-9.836742074147349912e-01,5.608555557750101173e-01,-1.028125248216302356e+00,-1.035464505190516915e+00
-1.172115596080241628e+00,-9.504445215514463197e-01,3.968672730493720269e-01,-1.057819459444540700e+00,-7.226365379360052410e-01
-1.213382030594361893e+00,-9.517535385407829285e-01,1.889658356654792815e-01,-1.109912579937816446e+00,-5.593031360939800800e-01
-1.251297204944863850e+00,-9.614829107407306674e-01,-4.813609558468204264e-02,-1.173077582986566947e+00,-4.727570426936764658e-01
-1.274210367985991743e+00,-8.947480083147434371e-01,-2.666223731271576414e-01,-1.210501631784709708e+00,-2.266996725801067591e-01
