bloque,modelo,RMSE_scores,R2_scores,sd_ratio,MISE,RMSE_func,n
test,(truncamiento FPCA),,,,0.31334988850456674,0.5597766416210725,120
test,FAR1,1.105010575191554,-0.06364782397567192,0.319718560842228,8.258694176081415,2.873794386535233,120
test,GBT,1.2827872891476748,-0.4334227178511003,0.6662131209756199,11.015915526660061,3.3190232790174976,120
test,RF,1.1842132229399616,-0.22158811708823034,0.5197931012462589,9.440824499640941,3.072592472105753,120
test,VAR,1.1028728792672273,-0.0595364492529058,0.31976798645987814,8.227954487609477,2.8684411250031743,120
test,media,1.274634834750264,-0.4152610477217016,0.0,10.894244875594818,3.300643100305578,120
test,persistencia,1.22386322145782,-0.30476036361794545,1.0122458471797449,10.050673718359393,3.1702797539585355,120
train,(truncamiento FPCA),,,,0.2380235415808888,0.48787656387747175,279
train,FAR1,0.9511862762161712,0.09739649041238829,0.3120767158060476,6.122559892644027,2.474380708913652,279
train,GBT,0.5887002831048054,0.6542562358229109,0.640025055549139,2.490612705566564,1.5781675150523673,279
train,RF,0.7819369878670112,0.39002872913021747,0.5149432240216599,4.217103565499924,2.053558756281379,279
train,VAR,0.9511728397020535,0.0974219906943905,0.3121249600630977,6.122408053232373,2.4743500264175182,279
train,media,1.0011934397876578,-4.276276668324641e-06,0.0,6.762337154819834,2.6004494140090157,279
train,persistencia,1.1674023392896655,-0.3595869428470839,0.9880513622480992,9.099613103149625,3.0165564975895323,279
