bloque,FPC,RMSE,R2,sd_ratio,CRPS,Cob95,Ancho,PIT_ks,PIT_forma,n
train,FPC 1,0.9425161365907816,0.11377610545305938,0.22948781920884395,0.4781215077412926,0.9498207885304659,4.031870057570036,0.04119139784946235,aproximadamente uniforme,279
test,FPC 1,1.1474079136101665,-0.14683428804649545,0.22617352061377083,0.6550184786753743,0.975,4.308411663224299,0.24917777777777778,aproximadamente uniforme,120
