M,1
experiment_id,escenario_H_r01_m01
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
n_lags,1
M_fpca,1
K_base,4
var_explicada,0.964921
n_train_origenes,279
n_test_origenes,120
w_ventana,20
p_bic_libre,4
far_hs_norm,0.315851
far_hs_referencia,0.70
far_radio_espectral,0.315851
mise_truncamiento_test,0.31334989
mise_test_VAR,8.22795449
mise_test_FAR1,8.25869418
mise_test_RF,9.4408245
mise_test_GBT,11.01591553
mise_test_media,10.89424488
mise_test_persistencia,10.05067372
mise_test_PSBPM-FD,8.97487773
