M,grupo,n,sarle_modelo,sarle_oraculo,razon
1,deterministas,269,0.4513952085209296,0.46161946424399397,0.9778513331542272
1,ambiguos,130,0.457425548790473,0.6403820384203089,0.7143010286778935
1,bimodales,124,0.4560591992585016,0.6403820384203089,0.7121673811831232
