M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,11.56,25,20.0,25,True
1,1,2,11.2315,25,20.0,25,True
2,1,1,11.56,25,20.0,25,True
2,1,2,11.2315,25,20.0,25,True
2,2,1,11.303,25,19.00999999999999,25,True
2,2,2,11.8655,25,21.0,25,True
3,1,1,11.56,25,20.0,25,True
3,1,2,11.2315,25,20.0,25,True
3,2,1,11.303,25,19.00999999999999,25,True
3,2,2,11.8655,25,21.0,25,True
3,3,1,11.0955,25,19.0,25,True
3,3,2,11.5385,25,20.00999999999999,25,True
4,1,1,11.56,25,20.0,25,True
4,1,2,11.2315,25,20.0,25,True
4,2,1,11.303,25,19.00999999999999,25,True
4,2,2,11.8655,25,21.0,25,True
4,3,1,11.0955,25,19.0,25,True
4,3,2,11.5385,25,20.00999999999999,25,True
4,4,1,11.4,23,19.0,25,False
4,4,2,11.243,25,18.00999999999999,25,True
