w,metrica,columna,criterio,bloque,M,n_ventanas,pct_ventanas_ganadas
20,1. MAE  (L^1),mae_f,menor es mejor,train,1,677,0.206794682422452
20,1. MAE  (L^1),mae_f,menor es mejor,train,2,677,0.0310192023633678
20,1. MAE  (L^1),mae_f,menor es mejor,train,3,677,0.1432791728212703
20,1. MAE  (L^1),mae_f,menor es mejor,train,4,677,0.07828655834564253
20,1. MAE  (L^1),mae_f,menor es mejor,train,5,677,0.051698670605613
20,1. MAE  (L^1),mae_f,menor es mejor,train,6,677,0.1536189069423929
20,1. MAE  (L^1),mae_f,menor es mejor,train,7,677,0.103397341211226
20,1. MAE  (L^1),mae_f,menor es mejor,train,8,677,0.23190546528803546
20,1. MAE  (L^1),mae_f,menor es mejor,test,1,281,0.07829181494661921
20,1. MAE  (L^1),mae_f,menor es mejor,test,2,281,0.30604982206405695
20,1. MAE  (L^1),mae_f,menor es mejor,test,3,281,0.03558718861209965
20,1. MAE  (L^1),mae_f,menor es mejor,test,4,281,0.13523131672597866
20,1. MAE  (L^1),mae_f,menor es mejor,test,5,281,0.12455516014234876
20,1. MAE  (L^1),mae_f,menor es mejor,test,6,281,0.08540925266903915
20,1. MAE  (L^1),mae_f,menor es mejor,test,7,281,0.11387900355871886
20,1. MAE  (L^1),mae_f,menor es mejor,test,8,281,0.12099644128113879
20,2. RMSE (L^2),rmse_f,menor es mejor,train,1,677,0.20088626292466766
20,2. RMSE (L^2),rmse_f,menor es mejor,train,2,677,0.05760709010339734
20,2. RMSE (L^2),rmse_f,menor es mejor,train,3,677,0.15805022156573117
20,2. RMSE (L^2),rmse_f,menor es mejor,train,4,677,0.047267355982274745
20,2. RMSE (L^2),rmse_f,menor es mejor,train,5,677,0.053175775480059084
20,2. RMSE (L^2),rmse_f,menor es mejor,train,6,677,0.14771048744460857
20,2. RMSE (L^2),rmse_f,menor es mejor,train,7,677,0.1019202363367799
20,2. RMSE (L^2),rmse_f,menor es mejor,train,8,677,0.23338257016248154
20,2. RMSE (L^2),rmse_f,menor es mejor,test,1,281,0.12455516014234876
20,2. RMSE (L^2),rmse_f,menor es mejor,test,2,281,0.19572953736654805
20,2. RMSE (L^2),rmse_f,menor es mejor,test,3,281,0.16370106761565836
20,2. RMSE (L^2),rmse_f,menor es mejor,test,4,281,0.08896797153024912
20,2. RMSE (L^2),rmse_f,menor es mejor,test,5,281,0.060498220640569395
20,2. RMSE (L^2),rmse_f,menor es mejor,test,6,281,0.16370106761565836
20,2. RMSE (L^2),rmse_f,menor es mejor,test,7,281,0.08185053380782918
20,2. RMSE (L^2),rmse_f,menor es mejor,test,8,281,0.12099644128113879
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,1,677,0.22895125553914328
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,2,677,0.11964549483013294
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,3,677,0.0723781388478582
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,4,677,0.103397341211226
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,5,677,0.06499261447562776
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,6,677,0.09748892171344166
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,7,677,0.1019202363367799
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,8,677,0.21122599704579026
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,1,281,0.0711743772241993
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,2,281,0.19572953736654805
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,3,281,0.12811387900355872
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,4,281,0.017793594306049824
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,5,281,0.08185053380782918
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,6,281,0.17793594306049823
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,7,281,0.10676156583629894
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,8,281,0.2206405693950178
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,1,677,0.21861152141802068
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,2,677,0.1654357459379616
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,3,677,0.14771048744460857
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,4,677,0.09748892171344166
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,5,677,0.06646971935007386
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,6,677,0.05465288035450517
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,7,677,0.11078286558345643
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,8,677,0.13884785819793205
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,1,281,0.2313167259786477
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,2,281,0.046263345195729534
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,3,281,0.0498220640569395
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,4,281,0.03558718861209965
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,5,281,0.18149466192170818
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,6,281,0.16725978647686832
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,7,281,0.13167259786476868
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,8,281,0.15658362989323843
30,1. MAE  (L^1),mae_f,menor es mejor,train,1,667,0.20839580209895053
30,1. MAE  (L^1),mae_f,menor es mejor,train,2,667,0.034482758620689655
30,1. MAE  (L^1),mae_f,menor es mejor,train,3,667,0.1664167916041979
30,1. MAE  (L^1),mae_f,menor es mejor,train,4,667,0.07646176911544228
30,1. MAE  (L^1),mae_f,menor es mejor,train,5,667,0.029985007496251874
30,1. MAE  (L^1),mae_f,menor es mejor,train,6,667,0.1424287856071964
30,1. MAE  (L^1),mae_f,menor es mejor,train,7,667,0.13793103448275862
30,1. MAE  (L^1),mae_f,menor es mejor,train,8,667,0.20389805097451275
30,1. MAE  (L^1),mae_f,menor es mejor,test,1,271,0.07380073800738007
30,1. MAE  (L^1),mae_f,menor es mejor,test,2,271,0.3173431734317343
30,1. MAE  (L^1),mae_f,menor es mejor,test,3,271,0.02214022140221402
30,1. MAE  (L^1),mae_f,menor es mejor,test,4,271,0.1070110701107011
30,1. MAE  (L^1),mae_f,menor es mejor,test,5,271,0.18081180811808117
30,1. MAE  (L^1),mae_f,menor es mejor,test,6,271,0.08487084870848709
30,1. MAE  (L^1),mae_f,menor es mejor,test,7,271,0.07380073800738007
30,1. MAE  (L^1),mae_f,menor es mejor,test,8,271,0.14022140221402213
30,2. RMSE (L^2),rmse_f,menor es mejor,train,1,667,0.22638680659670166
30,2. RMSE (L^2),rmse_f,menor es mejor,train,2,667,0.05247376311844078
30,2. RMSE (L^2),rmse_f,menor es mejor,train,3,667,0.1679160419790105
30,2. RMSE (L^2),rmse_f,menor es mejor,train,4,667,0.04047976011994003
30,2. RMSE (L^2),rmse_f,menor es mejor,train,5,667,0.034482758620689655
30,2. RMSE (L^2),rmse_f,menor es mejor,train,6,667,0.17541229385307347
30,2. RMSE (L^2),rmse_f,menor es mejor,train,7,667,0.10194902548725637
30,2. RMSE (L^2),rmse_f,menor es mejor,train,8,667,0.20089955022488756
30,2. RMSE (L^2),rmse_f,menor es mejor,test,1,271,0.13284132841328414
30,2. RMSE (L^2),rmse_f,menor es mejor,test,2,271,0.1992619926199262
30,2. RMSE (L^2),rmse_f,menor es mejor,test,3,271,0.16605166051660517
30,2. RMSE (L^2),rmse_f,menor es mejor,test,4,271,0.025830258302583026
30,2. RMSE (L^2),rmse_f,menor es mejor,test,5,271,0.08118081180811808
30,2. RMSE (L^2),rmse_f,menor es mejor,test,6,271,0.2029520295202952
30,2. RMSE (L^2),rmse_f,menor es mejor,test,7,271,0.02952029520295203
30,2. RMSE (L^2),rmse_f,menor es mejor,test,8,271,0.16236162361623616
30,3. E_max promedio por curva,linf_medio,menor es mejor,train,1,667,0.24887556221889057
