M,grupo,n,sarle_modelo,sarle_oraculo,razon
3,deterministas,269,0.4102199813491673,0.46161946424399397,0.8886539956043559
3,ambiguos,130,0.40605465730175716,0.6403820384203089,0.6340818963370844
3,bimodales,124,0.4048758692395923,0.6403820384203089,0.6322411388026091
