bloque,modelo,FPC1,FPC2,FPC3
test,FAR1,0.9919890853396436,1.128738054313929,1.1651889606044583
test,GBT,1.1036398445040316,1.2968967277205266,1.2565930130405356
test,RF,1.061719185364697,1.1326682620958592,1.149394619084223
test,VAR,0.9890084164036547,1.1287659346968415,1.1638259236265127
test,media,1.274634834750264,1.127060821961705,1.2336572024610017
test,persistencia,1.2238632214578198,1.4541871900526222,1.5802504562398116
train,FAR1,0.893966920358661,0.9892742072679712,0.9770400624919993
train,GBT,0.20284424739304513,0.29924363967537976,0.29791007558744637
train,RF,0.6988318950894149,0.8290766531170256,0.8313392565319417
train,VAR,0.8939333655541324,0.9892734849015739,0.9770243423224513
train,media,1.0011934397876578,1.001009605539761,1.0005456980297855
train,persistencia,1.1674023392896657,1.3130187261914397,1.4142113669033065
