M,componente,bloque,picp,ace,mpiw,winkler,sd_banda,rmse,mpiw_sobre_rmse
1,FPC 1,train,0.9583333333333334,0.008333333333333415,1.420355438090989,1.605352114549807,0.36234222620695816,0.42319253312896954,3.356286623464905
1,FPC 1,test,0.9533333333333334,0.0033333333333334103,1.4173903520181772,1.619312958747141,0.3615858128052804,0.4484697790777651,3.160503601676135
2,FPC 1,train,0.9583333333333334,0.008333333333333415,1.420355438090989,1.6053521145498069,0.36234222620695816,0.42319253312896954,3.356286623464905
2,FPC 1,test,0.9533333333333334,0.0033333333333334103,1.4173903520181772,1.619312958747141,0.3615858128052804,0.4484697790777651,3.160503601676135
2,FPC 2,train,0.9497126436781609,-0.0002873563218390718,1.0643536449078168,1.2185533012621346,0.2715237741376415,0.27082743256458847,3.930006775270019
2,FPC 2,test,0.9266666666666666,-0.023333333333333317,1.0737003927802042,1.5072921579655558,0.2739081923903205,0.3040018606402426,3.531887569763354
3,FPC 1,train,0.9583333333333334,0.008333333333333415,1.420355438090989,1.6053521145498069,0.36234222620695816,0.42319253312896954,3.356286623464905
3,FPC 1,test,0.9533333333333334,0.0033333333333334103,1.4173903520181772,1.619312958747141,0.3615858128052804,0.4484697790777651,3.160503601676135
3,FPC 2,train,0.9497126436781609,-0.0002873563218390718,1.0643536449078168,1.2185533012621346,0.2715237741376415,0.27082743256458847,3.930006775270019
3,FPC 2,test,0.9266666666666666,-0.023333333333333317,1.0737003927802042,1.5072921579655558,0.2739081923903205,0.3040018606402426,3.531887569763354
3,FPC 3,train,0.9612068965517241,0.011206896551724133,0.5435364015047148,0.6229374782255718,0.13865979209432286,0.1362154913054294,3.9902686272736005
3,FPC 3,test,0.96,0.010000000000000009,0.5436040162692467,0.6001461760253847,0.13867704107556228,0.13665461799519374,3.977941062250569
4,FPC 1,train,0.9583333333333334,0.008333333333333415,1.420355438090989,1.6053521145498069,0.36234222620695816,0.42319253312896954,3.356286623464905
4,FPC 1,test,0.9533333333333334,0.0033333333333334103,1.4173903520181772,1.619312958747141,0.3615858128052804,0.4484697790777651,3.160503601676135
4,FPC 2,train,0.9497126436781609,-0.0002873563218390718,1.0643536449078168,1.2185533012621346,0.2715237741376415,0.27082743256458847,3.930006775270019
4,FPC 2,test,0.9266666666666666,-0.023333333333333317,1.0737003927802042,1.5072921579655558,0.2739081923903205,0.3040018606402426,3.531887569763354
4,FPC 3,train,0.9612068965517241,0.011206896551724133,0.5435364015047148,0.6229374782255718,0.13865979209432286,0.1362154913054294,3.9902686272736005
4,FPC 3,test,0.96,0.010000000000000009,0.5436040162692467,0.6001461760253847,0.13867704107556228,0.13665461799519374,3.977941062250569
4,FPC 4,train,0.9583333333333334,0.008333333333333415,0.41847042254247196,0.47272583433761844,0.10675461961099081,0.10524800939127112,3.976041209356862
4,FPC 4,test,0.95,0.0,0.41857376929000006,0.5059799829872367,0.10678098406144196,0.10508829700649552,3.98306739392806
