M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,11.985,26,21.0,30,False
1,1,2,11.1295,24,19.0,30,False
2,1,1,11.985,26,21.0,30,False
2,1,2,11.1295,24,19.0,30,False
2,2,1,11.7105,30,20.0,30,True
2,2,2,10.958,25,18.0,30,False
3,1,1,11.985,26,21.0,30,False
3,1,2,11.1295,24,19.0,30,False
3,2,1,11.7105,30,20.0,30,True
3,2,2,10.958,25,18.0,30,False
3,3,1,11.352,26,19.0,30,False
3,3,2,11.087,27,21.0,30,False
4,1,1,11.985,26,21.0,30,False
4,1,2,11.1295,24,19.0,30,False
4,2,1,11.7105,30,20.0,30,True
4,2,2,10.958,25,18.0,30,False
4,3,1,11.352,26,19.0,30,False
4,3,2,11.087,27,21.0,30,False
4,4,1,11.297,27,19.0,30,False
4,4,2,11.013,26,19.00999999999999,30,False
