experiment_id,escenario_H_r01_m02
M_fpca,2
K_base,4
var_explicada,0.993361
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
nivel,0.95
S_scores,45000
S_funcional,500
rmse_scores_train,0.9209734977042873
rmse_scores_test,1.068208992925399
mise_train,4.928312955683817
mise_test,7.126802333325849
mise_truncamiento_test,0.06896273676931061
cobertura_puntual_test,0.9623333333333334
