bloque,modelo,FPC1,FPC2
test,FAR1,1.0119585377336433,1.1093589338297356
test,GBT,1.1642987128512934,1.2558716452217915
test,RF,1.074745210357942,1.1171643116428664
test,VAR,1.0088395348920698,1.1094405685554052
test,media,1.274634834750264,1.127060821961705
test,persistencia,1.2238632214578198,1.4541871900526222
train,FAR1,0.902294576085518,0.9918771532691514
train,GBT,0.32077174709250106,0.4464566574691295
train,RF,0.6990091034775414,0.8350211358499208
train,VAR,0.9022656521877225,0.9918760171025809
train,media,1.0011934397876578,1.001009605539761
train,persistencia,1.1674023392896657,1.3130187261914397
