bloque,modelo,RMSE_scores,R2_scores,MISE,RMSE_func,MISE_rel_PSBP
train,PSBPM-FD,0.9209734977042873,0.14864343074489045,4.928312955683817,2.2199803953377195,1.0
train,VAR,0.9470708346451517,0.10300643576835172,5.531921751479602,2.3520037736958677,1.1224777730682958
train,FAR1,0.9470858646773347,0.10297927570814025,5.532238984518024,2.3520712116171194,1.122542142567813
train,RF,0.7670151196637311,0.4083449813055567,3.359655008043365,1.8329361712954888,0.6817048832438044
train,GBT,0.3836142022808153,0.8492137064634907,0.7550399467059877,0.8689303462913398,0.15320454555046084
train,media,1.0011015226637094,-4.935368570824217e-06,6.762337154819833,2.6004494140090157,1.3721403684441016
train,persistencia,1.2402105327405528,-0.5400694259430353,9.237310639052353,3.0392944311225185,1.8743352384712042
train,(truncamiento FPCA),,,0.046438685889386884,,0.009422836233609962
test,PSBPM-FD,1.0682089929253988,0.054559519932474404,7.126802333325849,2.6696071496244254,1.0
test,VAR,1.0591400517237375,0.07058256954418074,6.9322202490738825,2.6329109838872036,0.9726971402950134
test,FAR1,1.0606587357816895,0.06790891052479736,6.973226975722909,2.640686837874364,0.9784510148562979
test,RF,1.0959547610004043,0.003980869388062747,7.838182219925754,2.799675377597509,1.0998175413499824
test,GBT,1.2100851790365423,-0.21335561105446,9.20710351946692,3.0343209321802003,1.2918982579905876
test,media,1.2008478283559847,-0.2093312547714853,10.894244875594815,3.3006431003055776,1.5286301437956147
test,persistencia,1.339025205755221,-0.4875805096320457,10.212447434330011,3.19569201180746,1.4329634745971958
test,(truncamiento FPCA),,,0.06896273676931061,,0.009676532832520405
