M,2
experiment_id,escenario_H_r01_m02
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
n_lags,1
M_fpca,2
K_base,4
var_explicada,0.993361
n_train_origenes,279
n_test_origenes,120
w_ventana,20
p_bic_libre,2
far_hs_norm,1.796802
far_hs_referencia,0.70
far_radio_espectral,0.306965
mise_truncamiento_test,0.06896274
mise_test_VAR,6.93222025
mise_test_FAR1,6.97322698
mise_test_RF,7.83818222
mise_test_GBT,9.20710352
mise_test_media,10.89424488
mise_test_persistencia,10.21244743
mise_test_PSBPM-FD,7.12680233
