1.513493339606767796e+00,4.106595215474058147e-01
1.513493339606767796e+00,4.106595215474058147e-01
1.513493339606767796e+00,4.106595215474058147e-01
1.513493339606767796e+00,4.106595215474058147e-01
-2.033649414086412310e+00,-1.671692015486405447e+00
-1.920293666732242110e+00,-1.723595602576743824e+00
-1.547926486558282022e+00,-1.231153099441168131e+00
-1.475993357053209332e+00,-1.418440302919276252e+00
-1.403296729908901419e+00,-1.111442432308026529e+00
-1.434204299615746692e+00,-1.247512031910501751e+00
-1.355045401190393850e+00,-1.679665970242395501e+00
-1.198582030487006289e+00,-1.997307781268460536e+00
-1.130676841597944904e+00,-5.784416165553306621e-01
-1.023301691101105693e+00,-9.517439823894284778e-01
-9.891869411937990186e-01,-9.638523176610394039e-01
-1.090730029631443498e+00,-5.920196652057169162e-01
-1.152738884109956397e+00,-7.304525895219130538e-01
-1.257074266886976543e+00,-1.360323165356706054e+00
-1.249203073801027131e+00,-5.812717962784311743e-01
-1.322137796727240078e+00,-1.364505946074231924e+00
-1.289193136175326826e+00,-1.140403254000434075e+00
-1.119102577587256064e+00,-8.818811581908381214e-01
-1.164009922648083339e+00,-8.318451059887691512e-01
-1.035661451553165247e+00,-8.013006428344554566e-01
-1.137300721338010634e+00,-6.773913738054392342e-01
-1.232543383957661387e+00,-5.066362197523311961e-01
-1.248724605808475552e+00,-1.622660336272589099e+00
-9.052522663849135176e-01,-1.381339125082640118e+00
-6.821185642996312470e-01,-2.904244690996868328e-01
-6.214418178380562985e-01,-4.646780210599238958e-01
-6.088920397150004993e-01,-7.817441420903802340e-01
-5.676183811541162250e-01,-7.817876905920125852e-01
-6.050426933456566347e-01,-4.534618841920837196e-01
-5.597033679827186914e-01,-7.229393795836547287e-01
-5.338860996963759042e-01,-4.482727048777649381e-01
-4.251791767046344539e-01,-4.773392310461546661e-01
-4.231623907374648108e-01,-2.673569392766351194e-01
-4.397437512313526198e-01,-2.226189214403313521e-01
-4.718571003221910254e-01,-9.218099605667907648e-01
-2.939907085398508202e-01,-9.201892594637718359e-01
-1.922381505944890656e-01,-6.179793514961732237e-01
-1.657671652313398858e-01,-5.305859670835946229e-01
-1.627739969352900162e-01,-6.554979165783381134e-01
-6.916197223767202307e-02,-4.137258498990711852e-01
-9.128772322118704208e-02,-3.331208003564888886e-01
-1.589276858764396561e-01,-3.056049034525457064e-01
-1.816511668743494290e-01,-4.686754734633442609e-01
-1.831403762194975249e-01,-5.154243908829080345e-01
-8.925101592947490281e-02,-3.362879429574437973e-01
-1.210688846803086166e-01,9.621340902371032858e-03
-1.329792854672562363e-01,-4.823684414522770303e-01
-3.682402180525877478e-02,-1.985257837994932328e-01
-2.064834779944818566e-02,-3.556639539347887236e-01
6.111701089649690388e-02,-5.565051765305621956e-01
2.040422504182580754e-01,-4.157341296676531628e-01
2.978581375377443163e-01,-3.906198517682065163e-01
3.437543410333533389e-01,-6.695638460350452625e-01
3.529855934016113417e-01,-3.929633433981885582e-01
2.634666949434323335e-01,2.290875979546192764e-01
2.947347983843360275e-01,-7.504822934830707171e-01
3.861346548944964430e-01,-1.393545044066443750e-01
3.739141334026164776e-01,-2.155122371168400053e-01
4.606918347036084715e-01,-1.329410868879188634e-01
5.025255148919519632e-01,8.979100064771079401e-03
5.102303273665921290e-01,1.123687754338303646e-01
5.224337767828958201e-01,-7.297947727407325114e-02
5.557151756529492559e-01,-2.084303790090799580e-01
6.052149154433107414e-01,-4.751874993881376880e-02
6.142565694678644439e-01,2.040747525615514979e-01
6.040592224270566746e-01,-7.473316360770779210e-02
6.157538427147586368e-01,-2.079103988797541269e-01
6.252479287551211407e-01,-1.885305285037842671e-01
6.353003869810308624e-01,-1.619005800990620525e-01
6.926313591342990739e-01,-2.126346698610904473e-01
6.731716254713063785e-01,5.745969346726161886e-01
6.841561273694385381e-01,3.776217797451270064e-01
7.299418969893309850e-01,-3.051946128591978558e-02
7.483506442936392888e-01,-1.602883366038113794e-02
7.813872382129801730e-01,-1.038210645677898336e-01
7.844702415323747680e-01,-1.318182141487740378e-01
8.179099489601685535e-01,-3.177843093189008927e-01
8.817422513951900243e-01,1.039453823998806453e-01
8.963393284076140999e-01,-3.861551216203523013e-02
8.896967680321665739e-01,4.099477846652575808e-02
8.872141461363636239e-01,-1.224946389528434355e-02
9.047528402613486120e-01,-3.957678454660506356e-02
9.007248629517771166e-01,-5.807843706963496111e-02
9.280815343760644431e-01,9.828211332131228661e-02
9.369981479164040117e-01,1.068577494297885261e-01
9.446848028907292028e-01,2.292126984528530254e-01
9.834803847734655546e-01,1.362500048081620174e-01
1.004348071126424768e+00,3.062925853685454641e-02
1.044523869972324048e+00,4.396358651896922071e-02
1.059988635233790610e+00,1.940887974519702741e-01
1.059988635233790610e+00,1.940887974519702741e-01
1.107424343633968578e+00,2.450527529878041566e-01
9.829050413462701030e-01,-6.358239896452941853e-01
1.135844166190843607e+00,2.409391737099742525e-01
1.152150219153768917e+00,-1.520352468645509323e-03
1.145853768833162034e+00,1.265336884695829611e-01
1.159096004774812005e+00,2.414174239859974425e-01
1.158133554033311752e+00,1.648362184986960077e-01
1.042282309015053698e+00,5.862984336359687854e-01
9.384693517174398369e-01,1.818955331602382652e-01
9.342413388337236224e-01,1.284668235960648441e-01
7.397096952779852463e-01,1.419006669115033148e+00
8.187872911054172587e-01,3.596690958944131489e-01
8.933486795121332591e-01,2.603042009801923018e-01
9.004889547962029450e-01,-1.144399078798300114e-02
9.289802953173795785e-01,1.551312854742439851e-01
9.415223237388514743e-01,1.411607050650984796e-01
9.475113630012429455e-01,1.830775052857457619e-01
9.836997358909881362e-01,2.413485620129370290e-01
9.819959139567514539e-01,2.154719876246034838e-01
9.748503188768397054e-01,2.623218117531968541e-01
9.944255827336367926e-01,2.212773221430342496e-01
1.009205498342599538e+00,1.681704243501694063e-01
1.008261420540621955e+00,1.174059601016320814e-01
1.016967436140352010e+00,2.903910223921884470e-01
1.016602853297695619e+00,2.036471729143544407e-01
1.014755340046676446e+00,3.178806391163083167e-01
1.011325489900805730e+00,2.598569941277609763e-01
1.039484164523759135e+00,4.769295768991112516e-01
1.032132958483140683e+00,-1.507107918223215270e-01
1.001237492190816258e+00,9.686162077763214862e-02
1.028551313869739303e+00,2.593271650645654347e-01
1.045764895645401538e+00,2.197920918942836699e-01
8.936538973376964012e-01,1.206108712419086126e+00
9.457623156893273375e-01,1.054159762952113111e+00
8.502084000965649535e-01,4.394777759956554064e-01
9.076719659339718138e-01,1.626780096557053912e-02
9.592416018862710558e-01,2.664550598127318204e-01
9.518489831099246068e-01,1.177265489090879580e-01
9.971045938167329981e-01,4.563818724856313347e-01
9.924489516014283197e-01,3.922517879115519079e-01
9.935149726620468025e-01,1.576237542059037988e-01
