metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.6807388562285258,0.9336663579792989,0.7962780250906154
1. MAE  (L^1),test,mae_f,0.7453062591836164,0.9538423572202701,0.8287140484106137
2. RMSE (L^2),train,rmse_f,0.8520681543739765,1.1713980588870472,0.9982702951985499
2. RMSE (L^2),test,rmse_f,0.9438907802715353,1.1863554707984931,1.0279831905795433
3. E_max promedio por curva,train,linf_medio,1.664625929517587,2.2422675286836427,1.9195486144522595
3. E_max promedio por curva,test,linf_medio,1.7580503436929402,2.2434469517537723,1.9702787470637788
4. E_max peor de la ventana,train,linf_max,2.402682007159055,3.962991673450594,3.1035717070653988
4. E_max peor de la ventana,test,linf_max,2.6643810951025997,3.671384230982409,3.0014053791414708
5. MPIW,train,mpiw,3.4276359329675663,3.4942786266716293,3.4611881916108764
5. MPIW,test,mpiw,3.42148871346949,3.492699176438872,3.458835321548189
6. PICP puntual,train,picp,0.8506666666666667,0.9586666666666667,0.9109728395061728
6. PICP puntual,test,picp,0.844,0.9286666666666666,0.8985399698340876
7. PICPB curva completa,train,picp_simultaneo,0.05,0.6,0.29648148148148146
7. PICPB curva completa,test,picp_simultaneo,0.1,0.35,0.22420814479638007
8. Winkler,train,winkler,4.030796795929122,6.917478651568146,4.990757676389651
8. Winkler,test,winkler,4.363126904788515,6.472146099617968,5.131523220631722
9. Winkler max promedio,train,winkler_max_medio,12.237999602248792,31.502834710262675,20.805274342857402
9. Winkler max promedio,test,winkler_max_medio,15.463670840323593,33.387781743251416,23.062027874200556
10. Winkler max peor ventana,train,winkler_max_glob,35.50462424618362,101.62575352311092,63.13482929283319
10. Winkler max peor ventana,test,winkler_max_glob,41.13714050941607,109.71016453995766,66.64959759782515
