M,FPC,variable,media_c1,media_c2,n_cadenas,n_post,ess_min,ess_mean,geweke_max,rhat,converge
2,1,atomos_global,2.4836184936303853,2.625251930155755,2,2000,34.774083645492176,135.93552462705523,0.3395134350714743,1.4120717338397557,False
2,1,atomos_punto,1.6634497024510193,1.7101524841474107,2,2000,19.3516985719053,103.12150420256458,3.7380446917831196,1.0367539802425936,False
2,1,senal_gating,0.8201687911793661,0.9150994460083439,2,2000,9.151680943261832,86.49980353389155,4.7204973183001995,1.2871916539231787,False
2,1,sd_argumento,0.4533522488454747,0.511300866646563,2,2000,12.865220183553383,82.73007931705472,2.1592986303190083,1.3099269960635498,False
2,1,alpha,1.2806306042931919,1.2182686331335435,2,2000,30.36697884598048,54.682410943473414,1.735080141444717,1.041371782806364,False
2,1,psi_0,0.3310154850271858,0.3726119051631562,2,2000,15.369345991833372,88.6616122859666,3.393105247159681,1.3096205961003504,False
2,1,Gamma_0,0.5580833756346012,1.1463754336373668,2,2000,3.958597467036935,8.156295500085404,6.490718838541774,2.8346436801494224,False
2,2,atomos_global,2.961034364150911,1.6850940886663335,2,2000,3.6123945235300674,8.74077343849509,4.088535902654154,1.7978031700188193,False
2,2,atomos_punto,2.857223233114832,1.6850940664678276,2,2000,3.6162389333471663,8.742694585513666,4.088535902659164,1.8421734426783198,False
2,2,senal_gating,0.10381113103607884,2.2198505726933605e-08,2,2000,5.6042309156300325,1002.802115457815,2.4598217615314266,1.2192149460915336,False
2,2,sd_argumento,0.14840190783162371,3.4797152341968165e-06,2,2000,7.372957319158185,741.0973599560618,1.9008410997388194,1.765343907824542,False
2,2,alpha,0.3931361745090603,0.5923228480589707,2,2000,3.8329261861562656,9.30179261456206,8.509975199986687,1.1593709855300183,False
2,2,psi_0,0.39405266287400403,1.0098786869743753e-05,2,2000,6.965511347536309,739.4170577072493,2.2209261271004115,1.6900678904501787,False
2,2,Gamma_0,-0.5807187913629532,0.4625605648713346,2,2000,5.346885398105801,7.09571210468991,15.769986367359305,2.683850130783179,False
