variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd,FPC 3,FPC 3_sd,FPC 4,FPC 4_sd
fpc_1_lag1,1.0,0.0,,,,,,
fpc_1_lag2,0.13975000000000004,0.13823937572197004,,,,,,
fpc_1_lag3,0.397,0.512652416360247,,,,,,
fpc_1_lag4,0.039000000000000035,0.004242640687119289,,,,,,
fpc_2_lag1,,,1.0,0.0,,,,
fpc_2_lag2,,,0.05225000000000002,0.0010606601717798615,,,,
fpc_2_lag3,,,0.04175000000000001,0.01308147545195118,,,,
fpc_2_lag4,,,0.32825000000000004,0.41047548647879084,,,,
fpc_3_lag1,,,,,0.14400000000000002,0.12940054095713824,,
fpc_3_lag2,,,,,0.05175000000000002,0.00035355339059331333,,
fpc_3_lag3,,,,,0.05099999999999999,0.009192388155425127,,
fpc_3_lag4,,,,,0.21175000000000005,0.050558134854838156,,
fpc_4_lag1,,,,,,,0.055499999999999994,0.013435028842544336
fpc_4_lag2,,,,,,,0.048250000000000015,0.001767766952966331
fpc_4_lag3,,,,,,,0.035250000000000004,0.01025304832720491
fpc_4_lag4,,,,,,,0.8755,0.10394469683442242
