variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd
fpc_1_lag1,1.0,0.0,0.07366666666666666,0.009899494936611674
fpc_2_lag1,0.041000000000000036,0.009899494936611674,1.0,0.0
