kn,hs,condicion,lambda_kn
1,0.9955091267379764,1.0,136.45016843300283
2,1.3907052948177203,22.588776267485677,6.040617996177572
3,1.6747361655129036,835.4333741492314,0.16332860603271646
4,1.9526183080154602,984.3985704525405,0.13861272509800066
5,2.005002490095992,6213.619618791168,0.021959852196351312
6,4.274939268426366,26864.32121217527,0.005079233804394871
7,4.387820885379699,86666.8317154108,0.001574422022037985
8,4.6772215257345,125571.6852329467,0.0010866316572870356
9,4.765245048978575,141151.54879080117,0.0009666926760770709
10,5.176267951068949,142055.27231096223,0.0009605427958654733
11,5.280722704287571,145461.81088005356,0.0009380480526639282
12,6.597359227670227,149034.5569356388,0.0009155606004312772
