metrica,bloque,M,pct_ventanas_ganadas,n_ventanas
1. MAE  (L^1),train,1,0.0,680
1. MAE  (L^1),train,2,0.06764705882352941,680
1. MAE  (L^1),train,3,0.9323529411764706,680
1. MAE  (L^1),test,1,0.0,281
1. MAE  (L^1),test,2,0.19572953736654805,281
1. MAE  (L^1),test,3,0.8042704626334519,281
2. RMSE (L^2),train,1,0.0,680
2. RMSE (L^2),train,2,0.10735294117647058,680
2. RMSE (L^2),train,3,0.8926470588235295,680
2. RMSE (L^2),test,1,0.0,281
2. RMSE (L^2),test,2,0.2099644128113879,281
2. RMSE (L^2),test,3,0.7900355871886121,281
3. E_max promedio por curva,train,1,0.0,680
3. E_max promedio por curva,train,2,0.0,680
3. E_max promedio por curva,train,3,1.0,680
3. E_max promedio por curva,test,1,0.0,281
3. E_max promedio por curva,test,2,0.0,281
3. E_max promedio por curva,test,3,1.0,281
4. E_max peor de la ventana,train,1,0.18823529411764706,680
4. E_max peor de la ventana,train,2,0.12794117647058822,680
4. E_max peor de la ventana,train,3,0.6838235294117647,680
4. E_max peor de la ventana,test,1,0.21352313167259787,281
4. E_max peor de la ventana,test,2,0.0711743772241993,281
4. E_max peor de la ventana,test,3,0.7153024911032029,281
