componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,4,1,0,3,0,0.25,0.0,0.25,,0.29908333333333337,
FPC 2,4,1,0,3,0,0.25,0.0,0.25,,0.3050833333333333,
FPC 3,4,1,0,3,0,0.25,0.0,0.25,,0.3195,
FPC 4,4,1,0,3,0,0.25,0.0,0.25,,0.3158333333333333,
