componente,param,variable,n_cadenas,n_post,ess_min,ess_mean,geweke_max,rhat,converge
1,beta_j,fpc_1_lag1,2,500,286.45845670503746,363.96011245417947,1.5294646865812769,0.9998796274438134,True
1,beta_j,fpc_2_lag1,2,500,487.3420952858982,493.67104764294913,1.8073915030852234,0.9993580991758406,True
1,beta_j,fpc_3_lag1,2,500,494.03675244430895,497.0183762221545,1.458054848950742,0.9990276876773068,True
1,beta_j,fpc_4_lag1,2,500,500.0,500.0,2.4018206384186414,1.0001063825227003,False
1,p_j,fpc_1_lag1,2,500,4.807220032385638,9.464364196219766,1.9100588629460349,1.1810970475433413,False
1,p_j,fpc_2_lag1,2,500,38.21217762550794,42.37635465868942,1.5831527728107428,0.9990035625977403,False
1,p_j,fpc_3_lag1,2,500,23.66304121050774,34.45559082389275,1.5307620082703415,1.0003636856552478,False
1,p_j,fpc_4_lag1,2,500,30.278270365217832,43.38419164498727,0.9061530514009577,0.9990416283239648,False
2,beta_j,fpc_1_lag1,2,500,457.3802372886634,478.69011864433173,0.2712812443097506,0.9999131482097416,True
2,beta_j,fpc_2_lag1,2,500,500.0,500.0,0.6695909746115354,0.9990677308017593,True
2,beta_j,fpc_3_lag1,2,500,473.9807506699014,486.9903753349507,1.284795494962431,1.0020920539029017,True
2,beta_j,fpc_4_lag1,2,500,500.0,500.0,1.1738595445512434,1.0005575354186198,True
2,p_j,fpc_1_lag1,2,500,39.30789405202844,42.894045724818554,1.0012131087243057,1.0294482942548508,False
2,p_j,fpc_2_lag1,2,500,6.396440137003428,21.276388830217837,2.448872833563387,1.6021870961666758,False
2,p_j,fpc_3_lag1,2,500,30.306472259260964,33.84736269979365,1.1808933207084895,1.0654473618323186,False
2,p_j,fpc_4_lag1,2,500,18.30145083442014,25.371634069124163,1.640029424696072,1.0043955489152319,False
3,beta_j,fpc_1_lag1,2,500,482.4350776812256,491.2175388406128,2.539847460608725,1.0009745452019665,False
3,beta_j,fpc_2_lag1,2,500,500.0,500.0,1.3572044404714942,0.9990014355402194,True
3,beta_j,fpc_3_lag1,2,500,386.2484829048575,420.4586370951062,0.9026611513807462,0.999685148214401,True
3,beta_j,fpc_4_lag1,2,500,500.0,500.0,0.7414119161741136,0.9994771484145373,True
3,p_j,fpc_1_lag1,2,500,44.76352903154571,57.97929410780554,2.5216689251428197,1.0119054586109417,False
3,p_j,fpc_2_lag1,2,500,32.84838723439991,36.32864820927665,0.5163460375304655,0.9999097748696564,False
3,p_j,fpc_3_lag1,2,500,8.479059990989068,12.615193076168978,1.364671700615778,1.0251512992142122,False
3,p_j,fpc_4_lag1,2,500,24.212667741981274,37.01680880708714,1.4690405818812273,1.0821757172067887,False
4,beta_j,fpc_1_lag1,2,500,500.0,500.0,1.1734668364432788,1.0003214346605458,True
4,beta_j,fpc_2_lag1,2,500,500.0,500.0,0.9906361225464028,0.9991607770332547,True
4,beta_j,fpc_3_lag1,2,500,269.36877977481765,306.7112462192143,1.3560515528256358,0.9995199844606198,True
4,beta_j,fpc_4_lag1,2,500,420.07336314583307,460.03668157291656,0.9194555712072152,0.999097183206709,True
4,p_j,fpc_1_lag1,2,500,41.07553187857368,48.5916692245647,2.413919586332508,1.0256627941321828,False
4,p_j,fpc_2_lag1,2,500,34.676405376253086,47.93192991515857,1.0235794656398303,1.026443483533994,False
4,p_j,fpc_3_lag1,2,500,35.66979918713481,46.64992357748176,1.428969073322832,1.0127808883507639,False
4,p_j,fpc_4_lag1,2,500,11.842152939494563,12.20707333871634,1.0182642552343921,1.0332358180036791,False
