componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,4,1,0,3,0,0.25,0.0,0.25,,0.30474999999999997,
FPC 2,4,1,0,3,0,0.25,0.0,0.25,,0.29631250000000003,
FPC 3,4,1,0,3,0,0.25,0.0,0.25,,0.3036875,
FPC 4,4,1,0,3,0,0.25,0.0,0.25,,0.28675,
