experiment_id,escenario_A_r01
escenario,A — FAR(1) con tendencia determinista
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
nivel,0.95
deriva_total,3.0
tendencia_forma,lineal
tendencia_inclinacion,0.0
fpc_deriva,1
S_scores,450000
S_funcional,500
rmse_scores_train,0.905413526569432
rmse_scores_test,1.0203040141539468
rmse_ratio_test_train,1.1268928331784807
rmse_ratio_c11_ref,1.027
mise_train,1.0397114642033307
mise_test,1.2827393391556088
mise_truncamiento_test,0.04104279196807054
cobertura_puntual_train,0.9466188769414576
cobertura_puntual_test,0.914
frac_mise_nivel_test,0.5207889642020085
frac_mise_forma_test,0.4792110357979915
sesgo_nivel_test,0.49872322587246687
sesgo_vs_deriva_pendiente,0.32830373566874727
sesgo_vs_deriva_r2,0.16502233765585583
g_medio,1.0
pendiente_mise_test_por100t,0.540762514913969
psbp_supera_persistencia,True
