bloque,modelo,RMSE_scores,R2_scores,sd_ratio,MISE,RMSE_func,n
test,(truncamiento FPCA),,,,0.04104279196807054,0.20259020698955452,120
test,FAR1,1.0028431035993395,0.014373226093981867,0.3275003829645645,1.2397356216739739,1.113434156865135,120
test,GBT,1.202885028099371,-0.3929059433384838,0.5511501239146435,2.1881610493982264,1.479243404378815,120
test,RF,1.125795128709619,-0.22458975766548642,0.26190453532336927,2.0850543511249406,1.4439717279520887,120
test,VAR,1.0023739463575898,0.015108207969324244,0.3275164551347603,1.2368989929554899,1.1121596076802511,120
test,media,1.2938406173206507,-0.721013207793423,0.0,4.081730456097926,2.02032929397609,120
test,persistencia,1.1535774347393724,-0.3402808209876045,1.0071583566544815,1.3885801428024025,1.1783803048262487,120
train,(truncamiento FPCA),,,,0.038656955468648745,0.19661372146584466,279
train,FAR1,0.9015006018694756,0.17205405635481516,0.3261677909198983,1.0307598483493374,1.0152634379063088,279
train,GBT,0.20364630475401874,0.9573000999549008,0.8733064327637651,0.08916159030579875,0.29859938095347544,279
train,RF,0.7620433218152514,0.4104788440112692,0.38403978534692673,0.766258931487217,0.8753621716108236,279
train,VAR,0.9014958204001332,0.17206176473164755,0.3261823165720378,1.0307552471302013,1.0152611718815023,279
train,media,1.0016299985491164,-1.1492414415670282e-06,0.0,1.6498592696678758,1.2844684774909332,279
train,persistencia,1.1605410112364434,-0.4152357608981856,0.9958517193609348,1.4440109955228073,1.2016700859731873,279
