FPC,ks_train,forma_train,ks_test,forma_test,media_pit_test
FPC 1,0.02868802867383513,aproximadamente uniforme,0.25299555555555564,aproximadamente uniforme,0.34439292592592596
FPC 2,0.04223655913978491,aproximadamente uniforme,0.04748444444444444,aproximadamente uniforme,0.5113984814814815
FPC 3,0.03947433691756269,aproximadamente uniforme,0.34412666666666664,U (subdispersion: intervalos demasiado angostos),0.28657296296296303
FPC 4,0.03393591397849466,aproximadamente uniforme,0.04369555555555554,aproximadamente uniforme,0.5161853703703704
