bloque,modelo,FPC1,FPC2,FPC3,FPC4
test,FAR1,0.7614349963673211,0.8905550686904087,1.2756620943280097,1.0837202550116185
test,GBT,1.1595143609092542,1.0264001492820258,1.3546338689722677,1.270991733233937
test,RF,1.166582080552427,0.9186491306704452,1.2930844367733398,1.124864866842264
test,VAR,0.7596244122189073,0.8907299858518546,1.2753832819256081,1.0837581054339893
test,media,1.8024121371126296,0.9352330600726724,1.3666116189325255,1.0711056531647758
test,persistencia,0.6871047957219457,1.117954486479212,1.3905924613650846,1.4186579953912468
train,FAR1,0.6722082481313751,0.9439777077804445,0.9923679382822657,0.9974485132838166
train,GBT,0.1422037649467736,0.24033333618990815,0.21181024206993823,0.22023787580945503
train,RF,0.583612353702959,0.8043186122323541,0.8361864308985737,0.8240558904271188
train,VAR,0.6721986580849878,0.9439684381787211,0.9923678103052351,0.9974483750315888
train,media,1.0016207067459415,1.0013231598916623,1.0017878476994482,1.0017882798594135
train,persistencia,0.7239655129828194,1.157579733941223,1.3295373205964132,1.431081477425318
