componente,autovalor,var_ratio,var_acum,ar1_propio,alineacion_g
1,1.0438630233924644,0.6310264568437123,0.6310264568437123,0.7416061957378001,
2,0.36915326765852924,0.22315713202081597,0.8541835888645283,0.32907011240126444,
3,0.14406741399791004,0.08709030568616814,0.9412738945506964,0.11930721196603403,
4,0.05976483503586701,0.03612848740821139,0.9774023819589078,-0.023189494485416906,
5,0.02738059745095069,0.016551866488752304,0.9939542484476601,0.019308426698308984,
6,0.006864872555584075,0.004149889504999906,0.9981041379526601,0.02182810672272475,
7,0.0020347158247614383,0.0012300076627010745,0.9993341456153612,0.005499471829784417,
8,0.0011014764334365242,0.0006658543846389075,1.0,-0.0027351898584796934,
