w,mise_train,mise_test,salto,pendiente_test_por100t,r2_recta
10,1.0206312887126077,1.274520034948205,1.2487565774667213,0.3944671134382636,0.18488523999726025
20,1.0051031074211807,1.2929060377075112,1.286341697843074,0.540762514913969,0.5155603234105769
40,0.9977690932861779,1.2815762245647646,1.2844416941637877,0.6281543674779801,0.8333042557512553
