estrato,n,cobertura,ancho_medio,desvio,crps,FPC,es_deriva
deriva Q1,100,0.94,2.73541081163882,0.00015037593984956743,0.4178675174220807,1,True
deriva Q2,99,0.9797979797979798,2.701350234779174,0.0399483557378294,0.3522649713897767,1,True
deriva Q3,100,0.96,2.736108051805139,0.020150375939849585,0.3798202452795935,1,True
deriva Q4,100,0.88,3.0333816982468975,-0.059849624060150375,0.43238902631253423,1,True
deriva Q1,100,0.95,3.756342651724286,-0.00989974937343363,0.5134036977439773,2,False
deriva Q2,99,0.9595959595959596,3.7717535398684516,-0.00030378977747402836,0.5581911011372929,2,False
deriva Q3,100,0.97,3.765426552658726,0.010100250626566387,0.5269102816480611,2,False
deriva Q4,100,0.96,3.7568055745226925,0.00010025062656637829,0.5113813371036355,2,False
deriva Q1,100,0.97,3.9471927408142333,0.042681704260651654,0.5448770543740089,3,False
deriva Q2,99,0.9696969696969697,3.948295933832449,0.042378673957621404,0.5293168888249845,3,False
deriva Q3,100,0.92,3.953656092273338,-0.0073182957393482795,0.6641681473839043,3,False
deriva Q4,100,0.85,3.962211915165662,-0.07731829573934834,0.7997241490080017,3,False
deriva Q1,100,0.94,3.8956568368275306,0.00015037593984956743,0.5543223298189479,4,False
deriva Q2,99,0.9595959595959596,3.895397296788327,0.01974633553580918,0.5500776240546911,4,False
deriva Q3,100,0.92,3.897188640227629,-0.01984962406015034,0.6419223650048067,4,False
deriva Q4,100,0.94,3.8962242884795244,0.00015037593984956743,0.5690767512400327,4,False
