metrica,bloque,M,pct_ventanas_ganadas,n_ventanas
1. MAE  (L^1),train,1,0.019286403085824494,1037
1. MAE  (L^1),train,2,0.037608486017357765,1037
1. MAE  (L^1),train,3,0.9431051108968177,1037
1. MAE  (L^1),test,1,0.0,435
1. MAE  (L^1),test,2,0.0,435
1. MAE  (L^1),test,3,1.0,435
2. RMSE (L^2),train,1,0.05689488910318226,1037
2. RMSE (L^2),train,2,0.02700096432015429,1037
2. RMSE (L^2),train,3,0.9161041465766635,1037
2. RMSE (L^2),test,1,0.0,435
2. RMSE (L^2),test,2,0.006896551724137931,435
2. RMSE (L^2),test,3,0.993103448275862,435
3. E_max promedio por curva,train,1,0.040501446480231434,1037
3. E_max promedio por curva,train,2,0.006750241080038573,1037
3. E_max promedio por curva,train,3,0.95274831243973,1037
3. E_max promedio por curva,test,1,0.022988505747126436,435
3. E_max promedio por curva,test,2,0.011494252873563218,435
3. E_max promedio por curva,test,3,0.9655172413793104,435
4. E_max peor de la ventana,train,1,0.2073288331726133,1037
4. E_max peor de la ventana,train,2,0.16489874638379942,1037
4. E_max peor de la ventana,train,3,0.6277724204435873,1037
4. E_max peor de la ventana,test,1,0.25287356321839083,435
4. E_max peor de la ventana,test,2,0.23908045977011494,435
4. E_max peor de la ventana,test,3,0.5080459770114942,435
