M,metrica,columna,bloque,modelo,pct_ventanas_ganadas,n_ventanas
3,2. RMSE (L^2),rmse_f,train,GBT,0.6152362584378014,1037
3,2. RMSE (L^2),rmse_f,train,PSBPM-FD,0.06943105110896818,1037
3,2. RMSE (L^2),rmse_f,test,FAR,0.2850574712643678,435
3,2. RMSE (L^2),rmse_f,test,RF,0.013793103448275862,435
3,2. RMSE (L^2),rmse_f,test,GBT,0.016091954022988506,435
3,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.6850574712643678,435
3,3. E_max promedio por curva,linf_medio,train,FAR,0.18514946962391515,1037
3,3. E_max promedio por curva,linf_medio,train,RF,0.08003857280617165,1037
3,3. E_max promedio por curva,linf_medio,train,GBT,0.6750241080038573,1037
3,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.05978784956605593,1037
3,3. E_max promedio por curva,linf_medio,test,FAR,0.432183908045977,435
3,3. E_max promedio por curva,linf_medio,test,RF,0.03218390804597701,435
3,3. E_max promedio por curva,linf_medio,test,GBT,0.10804597701149425,435
3,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.42758620689655175,435
3,4. E_max peor de la ventana,linf_max,train,FAR,0.2767598842815815,1037
3,4. E_max peor de la ventana,linf_max,train,RF,0.21311475409836064,1037
3,4. E_max peor de la ventana,linf_max,train,GBT,0.46383799421407906,1037
3,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.04628736740597879,1037
3,4. E_max peor de la ventana,linf_max,test,FAR,0.5172413793103449,435
3,4. E_max peor de la ventana,linf_max,test,RF,0.21149425287356322,435
3,4. E_max peor de la ventana,linf_max,test,GBT,0.12873563218390804,435
3,4. E_max peor de la ventana,linf_max,test,PSBPM-FD,0.1425287356321839,435
