kn,hs,condicion,lambda_kn
1,0.9884042560610187,1.0,0.06305301864490713
2,1.112253552410971,56.59877572736377,0.0011140350269877469
3,1.357694831749461,112.42484876443453,0.0005608459280832395
4,1.9898989433129954,1054.115161838755,5.981606272973063e-05
5,2.2159470485952166,1820.9967842925105,3.4625551889375984e-05
6,2.390488292732134,2606.5662747438532,2.4190069232405508e-05
7,2.4432947963828417,2884.0804749605636,2.1862433864911244e-05
8,3.3393198685331007,5153.256724902391,1.2235567139555119e-05
9,3.5171700690451675,7057.42424096351,8.93428204002922e-06
10,3.683432304216853,8461.440933198915,7.451806275396338e-06
11,3.729223780086433,12489.820436516842,5.0483526937310666e-06
12,3.867647001604162,13124.676890200753,4.804157784027755e-06
