M,metrica,bloque,banda,razon_vs_mejor
1,5. MPIW,train,FAR (IC del modelo AR),1.0
1,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1942708020390644
1,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.5410104402030784
1,5. MPIW,test,FAR (IC del modelo AR),1.0
1,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1942708020390644
1,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.2590706586686202
1,6. PICP puntual,train,FAR (IC del modelo AR),1.1625927350050695
1,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1577275363351802
1,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),1.3379196397071098
1,6. PICP puntual,test,FAR (IC del modelo AR),1.3401216020013222
1,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1180280656058428
1,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),1.1473405038004483
1,7. PICPB curva completa,train,FAR (IC del modelo AR),1.2847418102244186
1,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0719965253235606
1,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),1.2585864988933648
1,7. PICPB curva completa,test,FAR (IC del modelo AR),1.7642857142857153
1,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.2571428571428578
1,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),1.0380952380952382
1,8. Winkler,train,FAR (IC del modelo AR),1.01452694853252
1,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.2127323118262108
1,8. Winkler,train,PSBPM-FD (predictiva bayesiana),1.5140737714134054
1,8. Winkler,test,FAR (IC del modelo AR),1.016243490635338
1,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1749224572630979
1,8. Winkler,test,PSBPM-FD (predictiva bayesiana),1.2510032686955321
1,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0541199468537057
1,9. Winkler max promedio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.059776983130876
1,9. Winkler max promedio,train,PSBPM-FD (predictiva bayesiana),1.2641879370644633
1,9. Winkler max promedio,test,FAR (IC del modelo AR),1.088297128418689
1,9. Winkler max promedio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0373475102472307
1,9. Winkler max promedio,test,PSBPM-FD (predictiva bayesiana),1.1000135839326635
1,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.2510690570388598
1,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0671569807529855
1,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),1.6471166331598956
1,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.558633566928597
1,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1917485014277718
1,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),2.159077174351744
2,5. MPIW,train,FAR (IC del modelo AR),1.0
2,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.165345228082739
2,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.5922119700324306
2,5. MPIW,test,FAR (IC del modelo AR),1.0
2,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.165345228082739
2,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.2296987209829235
2,6. PICP puntual,train,FAR (IC del modelo AR),1.1400423720706236
2,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.2284777705699363
2,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),1.118738976641711
2,6. PICP puntual,test,FAR (IC del modelo AR),1.1001672421580555
2,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0721734540250998
2,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),1.150415098809536
2,7. PICPB curva completa,train,FAR (IC del modelo AR),1.2554463027430491
