M,metrica,columna,bloque,banda,pct_ventanas_ganadas,n_ventanas,criterio
2,7. PICPB curva completa,picp_simultaneo,train,FAR (IC del modelo AR),0.6046287367405979,1037,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.16586306653809066,1037,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.22950819672131148,1037,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.4850574712643678,435,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.1471264367816092,435,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,PSBPM-FD (predictiva bayesiana),0.367816091954023,435,|valor - nominal|
2,8. Winkler,winkler,train,FAR (IC del modelo AR),0.8919961427193829,1037,menor es mejor
2,8. Winkler,winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.006750241080038573,1037,menor es mejor
2,8. Winkler,winkler,train,PSBPM-FD (predictiva bayesiana),0.10125361620057859,1037,menor es mejor
2,8. Winkler,winkler,test,FAR (IC del modelo AR),0.9540229885057471,435,menor es mejor
2,8. Winkler,winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0022988505747126436,435,menor es mejor
2,8. Winkler,winkler,test,PSBPM-FD (predictiva bayesiana),0.04367816091954023,435,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,FAR (IC del modelo AR),0.43490838958534234,1037,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.18032786885245902,1037,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,PSBPM-FD (predictiva bayesiana),0.38476374156219867,1037,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,FAR (IC del modelo AR),0.19080459770114944,435,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.05747126436781609,435,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,PSBPM-FD (predictiva bayesiana),0.7517241379310344,435,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,train,FAR (IC del modelo AR),0.3741562198649952,1037,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3876567020250723,1037,menor es mejor
