M,bloque,modelo,MISE,RMSE_func,RMSE_scores,R2_scores,MISE_VAR,MISE_rel_VAR
2,train,VAR,1.7974892142166823,1.3407047453547265,0.9230636723490209,0.14525210336907046,1.7974892142166823,1.0
2,train,FAR1,1.7975030243971004,1.340709895688512,0.9230671898276047,0.1452459054125726,1.7974892142166823,1.00000768303938
2,train,RF,1.258382611076148,1.1217765423987738,0.770607041295732,0.4040099501949119,1.7974892142166823,0.7000779760586945
2,train,GBT,0.3913949312629114,0.62561564179847,0.41450588566138763,0.8276051547331531,1.7974892142166823,0.2177453573391678
2,train,media,2.400478844007691,1.5493478770139684,1.0014139133085393,-2.6977268944294863e-06,1.7974892142166823,1.3354621685748373
2,train,persistencia,5.0835629850783,2.2546758048726874,1.4039479352930972,-0.9699837666330388,1.7974892142166823,2.828146586289052
2,train,(truncamiento FPCA),0.036887011600471246,0.19205991669390896,,,1.7974892142166823,0.020521409146004824
2,train,PSBPM-FD,1.7885638128439945,1.337371979983129,0.9226420721140713,0.1455556408548144,1.7974892142166823,0.9950345174245858
2,test,VAR,3.57142535321164,1.8898215135857777,1.1662143131752605,0.18099757775297676,3.57142535321164,1.0
2,test,FAR1,3.57484867194099,1.890727022058179,1.1664935628340802,0.18072621547796608,3.57142535321164,1.0009585301079502
2,test,RF,3.829072703117384,1.9568016514499837,1.1858966900609091,0.16202125538058282,3.57142535321164,1.072141322980208
2,test,GBT,3.4048915152526384,1.845234813039424,1.1949200994914664,0.11267954534415892,3.57142535321164,0.9533704833535875
2,test,media,5.390905486795679,2.321832355445948,1.3254031152201264,-0.01697596838085469,3.57142535321164,1.5094548964737156
2,test,persistencia,8.592660583817908,2.9313240325521686,1.688250181046656,-0.653598960537934,3.57142535321164,2.4059471314697567
2,test,(truncamiento FPCA),0.062221756757997654,0.2494428927790841,,,3.57142535321164,0.0174221075913134
2,test,PSBPM-FD,3.628895591171779,1.9049660341254853,1.1777379232659806,0.1656638850674529,3.57142535321164,1.0160916811290648
