bloque,banda,winkler,picp,ee_picp,ace,mpiw,picp_simultaneo
test,FAR (IC del modelo AR),0.20394239715169973,0.9933920704845814,0.0005432091528275512,0.04339207048458149,0.18687098943967373,0.9140969162995595
test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.23152998894349183,0.9960891845725074,0.0004184627509220246,0.046089184572507436,0.2231399969138776,0.9449339207048458
test,PSBPM-FD (predictiva bayesiana),0.24696598581876744,0.995414906050526,0.0004529499571834749,0.045414906050526005,0.23669796202484952,0.933920704845815
train,FAR (IC del modelo AR),0.31109464725962394,0.967377860235003,0.0007809519160728157,0.017377860235003095,0.18687098943967378,0.8446969696969697
train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3790301624611354,0.9633580705009277,0.0008259486321596977,0.013358070500927743,0.2231399969138776,0.8645833333333334
train,PSBPM-FD (predictiva bayesiana),0.4147281969634391,0.9670686456400742,0.000784518968035828,0.017068645640074265,0.2895038093909424,0.84375
