t,bloque,banda,I_t_puntual,I_t_simultaneo
112,train,FAR (IC del modelo AR),1.0,1.0
113,train,FAR (IC del modelo AR),1.0,1.0
114,train,FAR (IC del modelo AR),1.0,1.0
115,train,FAR (IC del modelo AR),1.0,1.0
116,train,FAR (IC del modelo AR),1.0,1.0
117,train,FAR (IC del modelo AR),1.0,1.0
118,train,FAR (IC del modelo AR),1.0,1.0
119,train,FAR (IC del modelo AR),0.9387755102040817,0.0
120,train,FAR (IC del modelo AR),1.0,1.0
121,train,FAR (IC del modelo AR),1.0,1.0
122,train,FAR (IC del modelo AR),1.0,1.0
123,train,FAR (IC del modelo AR),1.0,1.0
124,train,FAR (IC del modelo AR),1.0,1.0
125,train,FAR (IC del modelo AR),1.0,1.0
126,train,FAR (IC del modelo AR),1.0,1.0
127,train,FAR (IC del modelo AR),1.0,1.0
128,train,FAR (IC del modelo AR),1.0,1.0
129,train,FAR (IC del modelo AR),1.0,1.0
130,train,FAR (IC del modelo AR),1.0,1.0
131,train,FAR (IC del modelo AR),1.0,1.0
132,train,FAR (IC del modelo AR),1.0,1.0
133,train,FAR (IC del modelo AR),1.0,1.0
134,train,FAR (IC del modelo AR),1.0,1.0
135,train,FAR (IC del modelo AR),1.0,1.0
136,train,FAR (IC del modelo AR),1.0,1.0
137,train,FAR (IC del modelo AR),1.0,1.0
138,train,FAR (IC del modelo AR),1.0,1.0
139,train,FAR (IC del modelo AR),1.0,1.0
140,train,FAR (IC del modelo AR),1.0,1.0
141,train,FAR (IC del modelo AR),1.0,1.0
142,train,FAR (IC del modelo AR),1.0,1.0
143,train,FAR (IC del modelo AR),1.0,1.0
144,train,FAR (IC del modelo AR),1.0,1.0
145,train,FAR (IC del modelo AR),1.0,1.0
146,train,FAR (IC del modelo AR),1.0,1.0
147,train,FAR (IC del modelo AR),1.0,1.0
148,train,FAR (IC del modelo AR),1.0,1.0
149,train,FAR (IC del modelo AR),1.0,1.0
150,train,FAR (IC del modelo AR),1.0,1.0
151,train,FAR (IC del modelo AR),0.9387755102040817,0.0
152,train,FAR (IC del modelo AR),0.9795918367346939,0.0
153,train,FAR (IC del modelo AR),1.0,1.0
154,train,FAR (IC del modelo AR),1.0,1.0
155,train,FAR (IC del modelo AR),1.0,1.0
156,train,FAR (IC del modelo AR),1.0,1.0
157,train,FAR (IC del modelo AR),0.9591836734693877,0.0
158,train,FAR (IC del modelo AR),1.0,1.0
159,train,FAR (IC del modelo AR),1.0,1.0
160,train,FAR (IC del modelo AR),1.0,1.0
161,train,FAR (IC del modelo AR),1.0,1.0
162,train,FAR (IC del modelo AR),1.0,1.0
163,train,FAR (IC del modelo AR),1.0,1.0
164,train,FAR (IC del modelo AR),1.0,1.0
165,train,FAR (IC del modelo AR),1.0,1.0
166,train,FAR (IC del modelo AR),1.0,1.0
167,train,FAR (IC del modelo AR),0.9795918367346939,0.0
168,train,FAR (IC del modelo AR),1.0,1.0
169,train,FAR (IC del modelo AR),1.0,1.0
170,train,FAR (IC del modelo AR),1.0,1.0
171,train,FAR (IC del modelo AR),0.9591836734693877,0.0
172,train,FAR (IC del modelo AR),1.0,1.0
173,train,FAR (IC del modelo AR),1.0,1.0
174,train,FAR (IC del modelo AR),1.0,1.0
175,train,FAR (IC del modelo AR),0.9795918367346939,0.0
176,train,FAR (IC del modelo AR),1.0,1.0
177,train,FAR (IC del modelo AR),1.0,1.0
178,train,FAR (IC del modelo AR),1.0,1.0
179,train,FAR (IC del modelo AR),1.0,1.0
180,train,FAR (IC del modelo AR),0.9591836734693877,0.0
181,train,FAR (IC del modelo AR),1.0,1.0
182,train,FAR (IC del modelo AR),1.0,1.0
183,train,FAR (IC del modelo AR),1.0,1.0
184,train,FAR (IC del modelo AR),1.0,1.0
185,train,FAR (IC del modelo AR),1.0,1.0
186,train,FAR (IC del modelo AR),1.0,1.0
187,train,FAR (IC del modelo AR),1.0,1.0
188,train,FAR (IC del modelo AR),1.0,1.0
189,train,FAR (IC del modelo AR),1.0,1.0
190,train,FAR (IC del modelo AR),1.0,1.0
191,train,FAR (IC del modelo AR),1.0,1.0
192,train,FAR (IC del modelo AR),1.0,1.0
193,train,FAR (IC del modelo AR),1.0,1.0
194,train,FAR (IC del modelo AR),1.0,1.0
195,train,FAR (IC del modelo AR),1.0,1.0
196,train,FAR (IC del modelo AR),0.9591836734693877,0.0
197,train,FAR (IC del modelo AR),1.0,1.0
198,train,FAR (IC del modelo AR),1.0,1.0
199,train,FAR (IC del modelo AR),1.0,1.0
200,train,FAR (IC del modelo AR),1.0,1.0
201,train,FAR (IC del modelo AR),1.0,1.0
202,train,FAR (IC del modelo AR),1.0,1.0
203,train,FAR (IC del modelo AR),1.0,1.0
204,train,FAR (IC del modelo AR),1.0,1.0
205,train,FAR (IC del modelo AR),1.0,1.0
206,train,FAR (IC del modelo AR),1.0,1.0
207,train,FAR (IC del modelo AR),0.9795918367346939,0.0
208,train,FAR (IC del modelo AR),1.0,1.0
209,train,FAR (IC del modelo AR),1.0,1.0
210,train,FAR (IC del modelo AR),1.0,1.0
211,train,FAR (IC del modelo AR),1.0,1.0
212,train,FAR (IC del modelo AR),1.0,1.0
213,train,FAR (IC del modelo AR),1.0,1.0
214,train,FAR (IC del modelo AR),1.0,1.0
215,train,FAR (IC del modelo AR),1.0,1.0
216,train,FAR (IC del modelo AR),1.0,1.0
217,train,FAR (IC del modelo AR),1.0,1.0
218,train,FAR (IC del modelo AR),1.0,1.0
219,train,FAR (IC del modelo AR),1.0,1.0
220,train,FAR (IC del modelo AR),1.0,1.0
221,train,FAR (IC del modelo AR),1.0,1.0
222,train,FAR (IC del modelo AR),1.0,1.0
223,train,FAR (IC del modelo AR),1.0,1.0
