8.740406564365763575e-01,-1.213235907158700888e+00,-8.645749681925465335e-01,-1.215315873595384399e+00,-1.130484063821884266e+00,9.659800861545518869e-01,-1.431113033892933428e-01,-9.650156149033760344e-02
9.252874748464644528e-01,-1.180539498384141073e+00,-7.125390571688416941e-01,-1.311711429906421866e+00,-1.256556759817046398e+00,1.414923174162035835e+00,-2.026616464675687623e-01,-1.307455413635212893e-01
9.605628272742973150e-01,-1.165379061314828268e+00,-6.771828721491378600e-01,-1.334571029678273568e+00,-1.336145245257142511e+00,1.668969693434155799e+00,-3.505262818691999294e-01,-1.082315894451359867e-01
9.798667137200753885e-01,-1.167754595950763363e+00,-7.585064131334349202e-01,-1.283894672910940393e+00,-1.369249520142173493e+00,1.728119643970911889e+00,-5.867052095941868162e-01,-2.895970573518178229e-02
9.839614160029457324e-01,-1.186288799085276180e+00,-9.465199661390114594e-01,-1.166180357913634280e+00,-1.352388067165345431e+00,1.596874888437629147e+00,-8.967224934338297038e-01,1.053908010541957652e-01
9.848740472694552661e-01,-1.199250886790915294e+00,-1.083608043882925420e+00,-1.083952058009486574e+00,-1.230630279930583493e+00,1.346264815553879668e+00,-1.052180028761976915e+00,2.683241712424774827e-01
9.867548085349617804e-01,-1.199142208275812971e+00,-1.115382203570358666e+00,-1.072587763993098076e+00,-9.850212308786784332e-01,1.000799566497543980e+00,-9.742643851090404539e-01,4.506975018413151846e-01
9.896036997994653861e-01,-1.185962763539969655e+00,-1.041842445201311529e+00,-1.132087475864469228e+00,-6.155609200096306965e-01,5.604791412686221941e-01,-6.629755624750207632e-01,6.525107928507088983e-01
9.924478422707103675e-01,-1.167669751175212323e+00,-8.938742524836608139e-01,-1.231211069210303544e+00,-1.702043039655311285e-01,6.478505727962458050e-02,-1.762221050581728454e-01,8.474407497706817338e-01
9.912876231360899792e-01,-1.176976098725718289e+00,-7.984512806609016522e-01,-1.241526921442605014e+00,1.539004621694689545e-01,-3.239697805513503948e-01,2.479275276597879551e-01,9.272693841013293081e-01
9.856906518212688040e-01,-1.217418338898966557e+00,-7.693004113809794875e-01,-1.149150532822130977e+00,3.354400643322179576e-01,-5.882380311520759575e-01,5.837362049240816253e-01,8.802974538426622253e-01
9.756569283262465087e-01,-1.288996471694956458e+00,-8.064216446438942087e-01,-9.540819033488807666e-01,3.744145025227158530e-01,-7.280196945225519967e-01,8.312039267347081095e-01,7.065249589946799302e-01
9.664024824040603479e-01,-1.356078684082432151e+00,-8.542611658633134653e-01,-7.001545964784594567e-01,3.479605450457167737e-01,-8.031225859765943609e-01,1.002432974516819231e+00,4.036153938634845506e-01
9.655259746825917144e-01,-1.366756902756599112e+00,-8.318887266295185157e-01,-4.512249145289076169e-01,3.684502741229618294e-01,-9.006741401688984627e-01,1.115053832321870830e+00,-3.183503996919567064e-02
9.730918005908900659e-01,-1.320591228791145433e+00,-7.386184773797148662e-01,-2.078340126046155922e-01,4.368359955359909508e-01,-1.021412725189757786e+00,1.169215911031654453e+00,-5.998551882526681478e-01
