experiment_id,real_nivel_v01_m03
objetivo_evaluacion,curva_observada
modo_residuo,empirico
n_lags,1
M_fpca,3
n_train_origenes,279
n_test_origenes,120
w_ventana,20
p_bic_libre,2
far_hs_norm,1.388862
far_hs_referencia,no observable (serie real)
far_radio_espectral,0.988356
mise_truncamiento_test,9.975e-05
mise_test_VAR,0.00038923
mise_test_FAR1,0.00038864
mise_test_RF,0.00490895
mise_test_GBT,0.00099669
mise_test_media,0.02538308
mise_test_persistencia,0.00051001
mise_test_PSBPM-FD,0.00037559
