M,bloque,modelo,MISE,RMSE_func,RMSE_scores,R2_scores,MISE_VAR,MISE_rel_VAR
1,train,VAR,2.5935013460850604,1.610435141843676,0.9988812479852843,0.00040964434803481,2.5935013460850604,1.0
1,train,FAR1,2.5935396523110716,1.6104470349288336,0.998890781625833,0.00039056343998211673,2.5935013460850604,1.000014770081407
1,train,RF,2.062870397235144,1.4362696116102798,0.8804319746798855,0.2234204501631163,2.5935013460850604,0.7953997788931501
1,train,GBT,1.656392697319483,1.2870092063848972,0.7778270044770821,0.39387754922012586,2.5935013460850604,0.6386704598475875
1,train,media,2.594440715443247,1.6107267662279803,0.9990955762344894,-1.936247512013267e-05,2.5935013460850604,1.0003622012225304
1,train,persistencia,4.892093429013516,2.2118077287624973,1.4001991550990105,-0.9641468707694518,2.5935013460850604,1.8862891420504655
1,train,(truncamiento FPCA),0.2154160351771933,0.46412933022724745,,,2.5935013460850604,0.08305992803989398
1,train,PSBPM-FD,2.567560875399756,1.6023610315405687,0.9946193491974858,0.0089212959497291,2.5935013460850604,0.9899978958081275
1,test,VAR,3.1780866686379046,1.7827188978181345,1.106797001947686,-0.03340830166111375,3.1780866686379046,1.0
1,test,FAR1,3.1738340593692844,1.781525767248199,1.1059928775705141,-0.031907236994072496,3.1780866686379046,0.9986618963823152
1,test,RF,3.6669650182826774,1.9149321184529433,1.1970465928012344,-0.20881017668625645,3.1780866686379046,1.153827884704699
1,test,GBT,4.033479050049556,2.008352322190894,1.259990457324893,-0.33927730602339246,3.1780866686379046,1.269153258107421
1,test,media,3.184461346140699,1.7845059109290444,1.1080084059399484,-0.03567169781583024,3.1780866686379046,1.0020058224231898
1,test,persistencia,5.520349755176209,2.349542456559619,1.485742901864993,-0.8621871525929583,3.1780866686379046,1.7370041571403005
1,test,(truncamiento FPCA),0.26954010399078165,0.5191725185242201,,,3.1780866686379046,0.08481206842175383
1,test,PSBPM-FD,3.230493609483242,1.797357396146699,1.1152148233329835,-0.0491873959068409,3.1780866686379046,1.0164900917783337
2,train,VAR,2.585333470975551,1.6078972202773256,0.9944669689180623,0.010515043244562483,2.585333470975551,1.0
2,train,FAR1,2.5853757074160244,1.6079103542847233,0.9944736855668521,0.010501638725051943,2.585333470975551,1.000016336941036
2,train,RF,1.4174884170910493,1.190583225604598,0.7812819952118373,0.38643989755759645,2.585333470975551,0.5482806891275707
2,train,GBT,0.3902141603115136,0.6246712417836391,0.40814980352243013,0.8319213429848102,2.585333470975551,0.1509337826985507
2,train,media,2.594440715443247,1.6107267662279803,0.9997553529091292,-1.4612312978723452e-05,2.585333470975551,1.0035226575487994
2,train,persistencia,5.030905145014599,2.242967932230552,1.3614810246599611,-0.8562069924184207,2.585333470975551,1.9459405146355202
2,train,(truncamiento FPCA),0.02902472564207711,0.1703664451764992,,,2.585333470975551,0.011226685442294184
2,train,PSBPM-FD,2.216681691662666,1.488852474781389,0.9597425356070378,0.07706432023477666,2.585333470975551,0.857406488001806
2,test,VAR,3.1660613570257814,1.779342956550474,1.106715176962353,-0.011022261400794153,3.1660613570257814,1.0
2,test,FAR1,3.161544482897314,1.7780732501495302,1.1063115004987663,-0.010268253224254675,3.1660613570257814,0.9985733459907704
2,test,RF,2.649813832385367,1.627824877677377,1.0608367611214988,0.07032522302272481,3.1660613570257814,0.8369432975470251
2,test,GBT,3.0094324271659074,1.7347715778066886,1.1706278544665727,-0.13660371246768305,3.1660613570257814,0.9505287762309786
2,test,media,3.184461346140699,1.7845059109290444,1.110487752274893,-0.017906249961478937,3.1660613570257814,1.0058116337745908
2,test,persistencia,5.679457743020363,2.383161291860113,1.4656020335615265,-0.774582441516078,3.1660613570257814,1.7938558677699419
2,test,(truncamiento FPCA),0.03699383717163554,0.19233782044006723,,,3.1660613570257814,0.011684497866582027
2,test,PSBPM-FD,2.783114884385248,1.6682670302997802,1.0648745187032722,0.06400043258148155,3.1660613570257814,0.8790464146278341
