M,experiment_id,objetivo_evaluacion,modo_residuo,n_lags,M_fpca,K_base,var_explicada,n_train_origenes,n_test_origenes,w_ventana,p_bic_libre,far_hs_norm,far_hs_referencia,far_radio_espectral,mise_truncamiento_test,mise_test_VAR,mise_test_FAR1,mise_test_RF,mise_test_GBT,mise_test_media,mise_test_persistencia,mise_test_PSBPM-FD
1,escenario_B_r01_m01,curva_verdadera,ninguno,1,1,4,0.917332,279,120,20,1,0.020199,0.70,0.020199,0.2695401,3.17808667,3.17383406,3.66696502,4.03347905,3.18446135,5.52034976,3.23049361
2,escenario_B_r01_m02,curva_verdadera,ninguno,1,2,4,0.989376,279,120,20,1,0.204045,0.70,0.071988,0.03699384,3.16606136,3.16154448,2.64981383,3.00943243,3.18446135,5.67945774,2.78311488
