M,componente,bloque,picp,ace,mpiw,winkler,sd_banda,rmse,mpiw_sobre_rmse
8,FPC 1,train,0.9554597701149425,0.005459770114942586,0.8289048449743814,0.9491780403608427,0.21145920154002354,0.2098557825708558,3.9498785061808324
8,FPC 1,test,0.9633333333333334,0.01333333333333342,0.8273993974731613,0.967524443730284,0.21107515175614483,0.19802859709106777,4.178181382018596
8,FPC 2,train,0.9482758620689655,-0.0017241379310344307,0.5068229925513651,0.5964876640336949,0.12929395451941084,0.12741023087326284,3.9778830089046044
8,FPC 2,test,0.9433333333333334,-0.006666666666666599,0.5067731058262287,0.6260472005563812,0.12928122808026798,0.12871671929137515,3.937119502549237
8,FPC 3,train,0.9410919540229885,-0.008908045977011447,0.43044510706349254,0.5120865274076618,0.10980944217942078,0.10631529041658994,4.048760111333185
8,FPC 3,test,0.97,0.020000000000000018,0.4304912369785208,0.4799326108493574,0.10982121023103507,0.1003388176705872,4.290375818377944
8,FPC 4,train,0.9540229885057471,0.004022988505747116,0.3551408316313834,0.418911328891472,0.09059881498624041,0.09286078310657755,3.824443642950798
8,FPC 4,test,0.96,0.010000000000000009,0.3549859903107086,0.42347896215974706,0.09055931392380386,0.0931880005661466,3.8093530084780913
8,FPC 5,train,0.9439655172413793,-0.0060344827586206184,0.3404968172921959,0.4052128045401624,0.08686302842608229,0.08353677857449687,4.076010867339657
8,FPC 5,test,0.98,0.030000000000000027,0.34093348834539444,0.35872354222259045,0.08697442614899928,0.08315747095992412,4.099853980764996
8,FPC 6,train,0.9540229885057471,0.004022988505747116,0.2983179882827118,0.34252609347416535,0.07610292543197522,0.07436732433655022,4.011412148333725
8,FPC 6,test,0.9433333333333334,-0.006666666666666599,0.29808871172741047,0.36796996584221847,0.07604443544050056,0.07804551407756558,3.819421465161404
8,FPC 7,train,0.9525862068965517,0.002586206896551757,0.2800623155627185,0.3253971909737694,0.07144578052523375,0.07041838027545531,3.977119531395067
8,FPC 7,test,0.9566666666666667,0.00666666666666671,0.28016999434307216,0.3239543560397688,0.0714732501063979,0.07113786398471517,3.9384088676498648
8,FPC 8,train,0.9655172413793104,0.015517241379310431,0.2746941828051175,0.3119336640896038,0.07007633375029274,0.06922946702892768,3.9678794968959665
8,FPC 8,test,0.94,-0.010000000000000009,0.2745665000043809,0.3465701060056948,0.07004376100897283,0.07133527095525763,3.8489585352047295
