componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,4,3,0,1,0,0.75,0.0,0.75,,0.8596666666666667,
FPC 2,4,2,0,2,0,0.5,0.0,0.5,,0.5,
FPC 3,4,3,0,1,0,0.75,0.0,0.75,,0.786,
FPC 4,4,3,0,1,0,0.75,0.0,0.75,,0.5906666666666667,
