componente,param,variable,n_cadenas,n_post,ess_min,ess_mean,geweke_max,rhat,converge
1,beta_j,fpc_1_lag1,3,1500,1243.1150735054139,1414.3716911684714,0.6639726920145914,1.00003265827949,True
1,beta_j,fpc_2_lag1,3,1500,1321.8527592520927,1393.2580806029164,0.7623669434366167,0.9996867536250591,True
1,beta_j,fpc_3_lag1,3,1500,1398.001811868406,1444.1800217384152,0.5407374882602489,0.9997827930495657,True
1,beta_j,fpc_4_lag1,3,1500,1447.6109874270212,1470.5769988272295,0.6786698584282107,0.9999291100638606,True
1,p_j,fpc_1_lag1,3,1500,112.96021811351942,163.64184794150586,0.6910499983964062,1.0069512945113737,True
1,p_j,fpc_2_lag1,3,1500,191.13570184603685,196.52300952146325,1.1221696560610606,1.002291890957603,True
1,p_j,fpc_3_lag1,3,1500,226.28152395070268,282.05093061517863,0.9251201823249856,1.0025583230808428,True
1,p_j,fpc_4_lag1,3,1500,232.65413044655884,671.9246046270036,1.7382052739295042,2.6830304860550753,False
2,beta_j,fpc_1_lag1,3,1500,1060.3939818566953,1278.146533757159,2.3529200382810953,0.9999471013944266,False
2,beta_j,fpc_2_lag1,3,1500,1107.3033861643785,1332.6289575445703,0.9997338790506419,1.0003869200181903,True
2,beta_j,fpc_3_lag1,3,1500,1500.0,1500.0,,,True
2,beta_j,fpc_4_lag1,3,1500,1500.0,1500.0,,,True
2,p_j,fpc_1_lag1,3,1500,58.839470707377195,237.7710312675597,2.800749489502439,1.0066511963159337,False
2,p_j,fpc_2_lag1,3,1500,132.51818278346246,251.53807566925016,0.7507049123549548,1.003354272825745,True
2,p_j,fpc_3_lag1,3,1500,1500.0,1500.0,,,True
2,p_j,fpc_4_lag1,3,1500,1500.0,1500.0,,,True
3,beta_j,fpc_1_lag1,3,1500,15.371512163977249,42.9640119766635,2.008108854955619,1.0031493068003767,False
3,beta_j,fpc_2_lag1,3,1500,843.6723094601629,917.2046583061812,0.9069381705843569,0.9997682844799233,True
3,beta_j,fpc_3_lag1,3,1500,1161.211434636783,1339.8108854525494,0.3605383021030094,1.0002825489127096,True
3,beta_j,fpc_4_lag1,3,1500,584.5451261902274,966.8192252923254,1.4958045887999916,1.000385425718316,True
3,p_j,fpc_1_lag1,3,1500,6.954392793231634,21.3654310035258,2.00970630634111,1.0112248363387033,False
3,p_j,fpc_2_lag1,3,1500,117.13150415890031,182.23536285976854,0.8856713747441488,1.0023533109195284,True
3,p_j,fpc_3_lag1,3,1500,188.61762736571208,229.90249000624578,1.342667776235716,1.010741790083727,True
3,p_j,fpc_4_lag1,3,1500,166.9316958050533,254.07560173845977,1.864654860398836,1.001719790345696,True
4,beta_j,fpc_1_lag1,3,1500,256.89542332947616,959.0490705857959,1.0519455514395348,1.0055232525145765,True
4,beta_j,fpc_2_lag1,3,1500,1155.1540423781166,1223.0112420642947,1.6794335543805416,1.0024191991718159,True
4,beta_j,fpc_3_lag1,3,1500,308.63809645366507,448.9454507137172,1.4788567500844974,1.011378191561739,True
4,beta_j,fpc_4_lag1,3,1500,975.4816790785021,1083.0835253513758,3.0808565267023016,1.00366362021014,False
4,p_j,fpc_1_lag1,3,1500,54.29431684665003,71.70144990588913,2.118398159869813,1.0019826440639326,False
4,p_j,fpc_2_lag1,3,1500,16.87833499825033,20.13584951972659,2.9632451086724565,1.0404862954675607,False
4,p_j,fpc_3_lag1,3,1500,10.377961786826768,36.17725927256816,1.0469684734212543,1.0218815972837514,False
4,p_j,fpc_4_lag1,3,1500,8.29398935846135,194.41777781018632,2.8540883463488433,1.080013591361847,False
