M,covariable,componente,pip
1,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 2,
2,fpc_2_lag1,FPC 1,
2,fpc_2_lag1,FPC 2,0.4285
3,fpc_1_lag1,FPC 1,1.0
3,fpc_1_lag1,FPC 2,
3,fpc_1_lag1,FPC 3,
3,fpc_2_lag1,FPC 1,
3,fpc_2_lag1,FPC 2,0.4285
3,fpc_2_lag1,FPC 3,
3,fpc_3_lag1,FPC 1,
3,fpc_3_lag1,FPC 2,
3,fpc_3_lag1,FPC 3,0.501
4,fpc_1_lag1,FPC 1,1.0
4,fpc_1_lag1,FPC 2,
4,fpc_1_lag1,FPC 3,
4,fpc_1_lag1,FPC 4,
4,fpc_2_lag1,FPC 1,
4,fpc_2_lag1,FPC 2,0.4285
4,fpc_2_lag1,FPC 3,
4,fpc_2_lag1,FPC 4,
4,fpc_3_lag1,FPC 1,
4,fpc_3_lag1,FPC 2,
4,fpc_3_lag1,FPC 3,0.501
4,fpc_3_lag1,FPC 4,
4,fpc_4_lag1,FPC 1,
4,fpc_4_lag1,FPC 2,
4,fpc_4_lag1,FPC 3,
4,fpc_4_lag1,FPC 4,1.0
5,fpc_1_lag1,FPC 1,1.0
5,fpc_1_lag1,FPC 2,
5,fpc_1_lag1,FPC 3,
5,fpc_1_lag1,FPC 4,
5,fpc_1_lag1,FPC 5,
5,fpc_2_lag1,FPC 1,
5,fpc_2_lag1,FPC 2,0.4285
5,fpc_2_lag1,FPC 3,
5,fpc_2_lag1,FPC 4,
5,fpc_2_lag1,FPC 5,
5,fpc_3_lag1,FPC 1,
5,fpc_3_lag1,FPC 2,
5,fpc_3_lag1,FPC 3,0.501
5,fpc_3_lag1,FPC 4,
5,fpc_3_lag1,FPC 5,
5,fpc_4_lag1,FPC 1,
5,fpc_4_lag1,FPC 2,
5,fpc_4_lag1,FPC 3,
5,fpc_4_lag1,FPC 4,1.0
5,fpc_4_lag1,FPC 5,
5,fpc_5_lag1,FPC 1,
5,fpc_5_lag1,FPC 2,
5,fpc_5_lag1,FPC 3,
5,fpc_5_lag1,FPC 4,
5,fpc_5_lag1,FPC 5,0.002999999999999947
6,fpc_1_lag1,FPC 1,1.0
6,fpc_1_lag1,FPC 2,
6,fpc_1_lag1,FPC 3,
6,fpc_1_lag1,FPC 4,
6,fpc_1_lag1,FPC 5,
6,fpc_1_lag1,FPC 6,
6,fpc_2_lag1,FPC 1,
6,fpc_2_lag1,FPC 2,0.4285
6,fpc_2_lag1,FPC 3,
6,fpc_2_lag1,FPC 4,
6,fpc_2_lag1,FPC 5,
6,fpc_2_lag1,FPC 6,
6,fpc_3_lag1,FPC 1,
6,fpc_3_lag1,FPC 2,
6,fpc_3_lag1,FPC 3,0.501
6,fpc_3_lag1,FPC 4,
6,fpc_3_lag1,FPC 5,
6,fpc_3_lag1,FPC 6,
6,fpc_4_lag1,FPC 1,
6,fpc_4_lag1,FPC 2,
6,fpc_4_lag1,FPC 3,
6,fpc_4_lag1,FPC 4,1.0
6,fpc_4_lag1,FPC 5,
