M,1
experiment_id,escenario_1_r01_m01
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
n_lags,1
M_fpca,1
K_base,4
var_explicada,0.829797
n_train_origenes,559
n_test_origenes,240
w_ventana,20
far_hs_norm,0.645381
far_hs_referencia,0.70
far_kn,1
far_condicion,1.0
sep_vs_far_scores_retirado,0.002924
mise_truncamiento_test,0.22856146
mise_test_FAR,0.95452236
mise_test_RF,1.05808662
mise_test_GBT,1.07926793
mise_test_media,1.3587309
mise_test_persistencia,1.13692266
mise_test_PSBPM-FD,0.95108495
