experiment_id,escenario_1_r01_m01
M_fpca,1
K_base,4
var_explicada,0.829797
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
nivel,0.95
S_scores,40000
S_funcional,500
rmse_scores_train,0.7651321247375373
rmse_scores_test,0.773138756001877
rmse_f_train,0.983678406859045
rmse_f_test,0.9752358430604641
rmse_f_truncamiento_test,0.47808101802608793
picp_test,0.8959583333333333
