bloque,MISE,RMSE_f,MISE_truncamiento,energy,Cob95_puntual,ancho_medio,n
train,0.9676232081207489,0.983678406859045,0.2513330419264938,6.4011760270243885,0.889051878354204,3.284429484071919,559
test,0.9510849495898542,0.9752358430604642,0.22856145979686066,6.314428857328742,0.8959583333333333,3.29217213795245,240
