bloque,mae_f,rmse_f,l2_medio,razon_agregacion,linf_max,linf_medio,q95_abs_medio,razon_linf_l1_media,argmax_tau_peor,argmax_origen_peor,n,mae_f_truncamiento,rmse_f_truncamiento,energy
train,0.788972102346019,0.983678406859045,0.8685604682234835,0.882971977596681,3.5566812770219842,1.3192326038366315,1.2753608329066703,1.8536938299825896,0.0,364,559,0.3734411622660844,0.5013312696476191,6.4011760270243885
test,0.7794138717149117,0.9752358430604641,0.8585318998298818,0.8803325943554899,3.218187888433695,1.2961591835535011,1.2511503734843268,1.8609553879687026,0.010101010101010102,2,240,0.36272426661350415,0.47808101802608793,6.314428857328742
