bloque,modelo,RMSE_scores,R2_scores,MISE,RMSE_func,MISE_rel_PSBP
train,PSBPM-FD,0.8306934902749413,0.3089935012829297,1.069900957778929,1.034360168306441,1.0
train,VAR,0.8354051431518261,0.3011325607165517,1.0764567612252443,1.0375243424735847,1.0061274862861371
train,FAR1,0.8354051694871132,0.301132516654398,1.0764561783767457,1.0375240615892942,1.0061269415174887
train,RF,0.7251916945229957,0.4733693146571235,0.8708212036545507,0.9331780128435039,0.8139269315753678
train,GBT,0.6233012828695522,0.61095793743262,0.7067961492082825,0.8407116920849159,0.6606182974876129
train,media,0.9993177415507355,-1.7760314496850782e-05,1.435847246724954,1.1982684368391558,1.3420375374798381
train,persistencia,0.9462693999269984,0.103335222854119,1.3141115428263586,1.1463470429265121,1.2282553195899562
train,(truncamiento FPCA),,,0.24310899700921698,,0.227225702754675
test,PSBPM-FD,0.8281006190315148,0.4677193994399288,1.0829468828266673,1.040647338355635,1.0
test,VAR,0.8232132503245372,0.47398379469536545,1.0774510931361545,1.0380034167266283,0.9949251530452095
test,FAR1,0.8232212984417443,0.4739735094849038,1.0774675492865182,1.0380113435249725,0.9949403487585217
test,RF,0.8828621138249781,0.3949933052553072,1.199835697217059,1.0953701188260792,1.107935870395871
test,GBT,0.9076551284146556,0.3605359244027494,1.252623331266481,1.1192065632699268,1.156680305498392
test,media,1.1393061381425942,-0.007523753760830809,1.826840567839652,1.3516066616585063,1.6869161330159623
test,persistencia,0.8787737005409316,0.4005837368963623,1.1861028877205964,1.0890835081482946,1.0952549072625568
test,(truncamiento FPCA),,,0.259534727433717,,0.23965600857198946
