component,param,ESS_min,ESS_mean,ESS_max,|Geweke|_max,Rhat,converge
1,muout,29.714792282532226,69.87436498364094,127.23412657768631,7.690869381771966,1.0399398013962209,False
1,N1out,16.35484743709154,81.79456333515967,192.58576217703134,6.563094606636549,1.0425863825350496,False
1,Nout,1500.0,1500.0,1500.0,,,False
1,beta0hout,1207.0251667414677,1402.341722247156,1500.0,1.0364247885231797,0.9996986546560042,True
1,tauhout,73.87650093164815,179.07197914349675,314.9622023746032,8.117439263916214,1.0049296470075018,False
1,alphahout,22.383580222413485,62.026904170052454,120.52341848406614,5.858923160519207,1.0474952788455556,False
1,pijout,33.342763386247135,138.6203016452611,286.0872541404031,4.820828093096094,1.0209265632116313,False
2,muout,38.905514155687385,69.38196037163927,117.1223912518415,1.9118689084546427,1.263788334308416,False
2,N1out,76.80876003985661,98.41181300944623,123.57989361521655,2.9018381986795605,1.338276724482851,False
2,Nout,1500.0,1500.0,1500.0,,,False
2,beta0hout,659.1051420059198,1219.7017140019732,1500.0,1.021629733820609,1.0004330718658832,True
2,tauhout,36.80366077788671,308.9905110265198,549.5792761589514,2.3705509705813403,1.0649051440909723,False
2,alphahout,35.93563783374369,51.84837307156178,75.7965747560831,2.187168796379589,1.3166611811526974,False
2,pijout,120.29863041379231,171.27769776044525,226.90304497211244,1.1716829558627468,1.0715018607816316,True
3,muout,61.48967544610158,86.02524522777719,122.51770509869274,1.5120974922448267,1.0158355046400072,False
3,N1out,40.35790027220982,72.59806775114193,111.10915330264356,1.565539117702048,1.01705865562827,False
3,Nout,1500.0,1500.0,1500.0,,,False
3,beta0hout,1500.0,1500.0,1500.0,0.9293708213034421,0.9997188964800856,True
3,tauhout,328.41289113290594,399.2710943220828,457.66151721920716,1.6722989866734157,0.9998582464990331,True
3,alphahout,45.94340140615539,68.53094488369106,102.93016034032502,1.5304110051728739,1.0172231482204304,False
3,pijout,121.55371620110908,167.5715396503417,200.7389715130738,2.119037772389847,1.0029604289414054,False
4,muout,51.323753305984745,109.18951524731597,220.22707025560698,1.4995607246475129,1.2963905457047742,False
4,N1out,30.46141815582112,58.82419652652215,91.37808269567518,1.255357466152447,1.4169706543435885,False
4,Nout,1500.0,1500.0,1500.0,,,False
4,beta0hout,991.08690564172,1233.5139586524122,1500.0,1.8422448580577826,1.001507045260202,True
4,tauhout,183.95319904324242,318.14419396232466,468.89046036879506,0.9010171060253729,1.0239213679524723,True
4,alphahout,42.242018474281664,86.94617158315911,173.95492144096065,1.4858761354909555,1.3681542538278448,False
4,pijout,95.09946336614468,136.60294960906,196.41717720067936,2.9893974816527984,1.1201888798308246,False
5,muout,38.63894257973226,72.05521261140784,108.93003452990634,3.295635041756731,1.0122463449029055,False
5,N1out,45.929947799537324,78.15130372957658,107.21821474271388,2.465234787613303,1.0131572817427301,False
5,Nout,1500.0,1500.0,1500.0,,,False
5,beta0hout,1500.0,1500.0,1500.0,0.6266062404173552,0.9997272591417191,True
5,tauhout,265.7484852204323,349.8567788761746,403.21110873648917,0.3774246966454854,0.9997639800887452,True
5,alphahout,35.69949822318023,64.24928094057026,98.16438164011113,3.3677615344172795,1.0150142799236703,False
5,pijout,101.12553127839587,124.9186983135149,168.17849651407798,3.79216645581434,1.0004425278531928,False
6,muout,45.84839661457691,151.4199908736695,250.5440182829913,1.4526671607957353,1.209458801188799,False
6,N1out,28.78494312936145,61.37942619678703,96.57597354001638,2.1000576936536866,1.1834912105395288,False
6,Nout,1500.0,1500.0,1500.0,,,False
6,beta0hout,668.8086962716538,1135.9777235981876,1500.0,0.9867046845825388,0.9997944254419355,True
6,tauhout,290.5600920021157,339.2631654408456,384.3349879539639,2.0658225770758474,1.0085740747765728,False
6,alphahout,39.72572342064677,118.11679205765586,169.931738697572,2.055886687371224,1.270871546088602,False
6,pijout,31.286301385234317,85.37104056723763,140.17005672381126,4.409086827322404,1.0437768875123679,False
7,muout,90.62483774937908,121.66815832537362,170.7147919076314,0.9254167342129633,1.3422683585811994,False
7,N1out,43.75646660069462,100.97876022946917,175.15183109664653,3.856183787759722,1.396990240359438,False
7,Nout,1500.0,1500.0,1500.0,,,False
7,beta0hout,780.5038134402719,1040.146466613418,1500.0,0.8983162896419634,1.0001640288581037,True
7,tauhout,263.9727347303858,331.4477561144794,436.1108056677157,2.6329132646232387,1.019558855163053,False
7,alphahout,75.49013467403385,108.47140129230029,152.6769159952262,0.8621582607346912,1.425381039078387,False
7,pijout,116.12251278316927,151.18660104931934,179.36985297288146,2.1124402384172685,1.096685903107401,False
8,muout,65.19174049100744,96.93675049769588,119.98862779834116,3.550416938443247,1.0257936685197164,False
8,N1out,52.78293462749723,70.54501346688379,95.1632924577229,2.895046701682112,1.026636317203924,False
8,Nout,1500.0,1500.0,1500.0,,,False
8,beta0hout,973.7786701895715,1324.5928900631905,1500.0,1.3143020278502722,0.9999056648797353,True
8,tauhout,366.7911835750784,479.7715372186476,601.7994919159864,0.8260463145609083,1.000611114233702,True
8,alphahout,50.18578794273668,78.88421067019719,105.28939943007424,3.760710429945391,1.03024851183207,False
8,pijout,144.54785386835164,201.55017779409127,247.6439002034516,1.8098919293989364,1.0093106511452559,True
9,muout,15.40415569137664,56.25474386815549,111.3651303441264,3.6770195374080576,1.0861504440598764,False
9,N1out,15.56959575056347,45.27006989165969,96.20805257433157,5.0044269344373715,1.2551691271032248,False
9,Nout,1500.0,1500.0,1500.0,,,False
9,beta0hout,1028.29595999799,1342.76531999933,1500.0,1.7556023169866921,0.9997413351067289,True
9,tauhout,36.434621939586286,312.95269466222686,543.8105796287508,4.884091784698913,1.0531525620237063,False
9,alphahout,11.218836262836488,42.26612626931806,80.68861639945814,3.275615974825532,1.122779934544054,False
