metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.6741526903846005,0.9260598808684988,0.792199448390306
1. MAE  (L^1),test,mae_f,0.7422758544035479,0.9486938338856479,0.820434853837461
2. RMSE (L^2),train,rmse_f,0.8512359004038539,1.1764793499896888,0.9913989949141754
2. RMSE (L^2),test,rmse_f,0.9416952984203044,1.1776064592064908,1.0209613883016357
3. E_max promedio por curva,train,linf_medio,1.6588499657366225,2.254498850408348,1.929651276747316
3. E_max promedio por curva,test,linf_medio,1.7675562082406509,2.2418033304393186,1.9587888628825
4. E_max peor de la ventana,train,linf_max,2.4308470160159263,4.047704117462713,3.1034045127993584
4. E_max peor de la ventana,test,linf_max,2.4998816221216256,3.6519699549833566,2.9850639258915304
5. MPIW,train,mpiw,3.563397676275174,3.6755475645970748,3.606150481732792
5. MPIW,test,mpiw,3.5650785519678934,3.669547732513588,3.6065122951588946
6. PICP puntual,train,picp,0.882,0.9706666666666667,0.9289009803921567
6. PICP puntual,test,picp,0.8713333333333333,0.9513333333333334,0.9185219454329775
7. PICPB curva completa,train,picp_simultaneo,0.15,0.65,0.37882352941176467
7. PICPB curva completa,test,picp_simultaneo,0.1,0.5,0.32669039145907475
8. Winkler,train,winkler,4.002199863313224,6.598989074908433,4.775005423688516
8. Winkler,test,winkler,4.107427776586144,5.935747541549606,4.859935682185249
9. Winkler max promedio,train,winkler_max_medio,10.022506189951923,26.937492472446518,17.52443875865232
9. Winkler max promedio,test,winkler_max_medio,11.463917745336882,27.147302124916916,18.21643308106953
10. Winkler max peor ventana,train,winkler_max_glob,31.51857862914575,94.47825759027336,59.027986839381114
10. Winkler max peor ventana,test,winkler_max_glob,37.28271063131103,92.60170714920756,55.399012828405304
