component,param,ESS_min,ESS_mean,ESS_max,|Geweke|_max,Rhat,converge
1,muout,25.190611537252355,52.27088692471559,86.38889058020402,0.6485123492445177,1.3070158853270655,False
1,N1out,48.94284441896465,57.363122063179794,68.34118403490746,1.9110528074930824,1.4499001194890837,False
1,Nout,700.0,700.0,700.0,,,False
1,beta0hout,347.3575126382202,414.84976541728093,451.60941523009126,1.1078191000008495,1.0011841841932,True
1,tauhout,163.8720532698354,224.08940089591127,256.9114544666155,2.7252296616603737,1.012082878642286,False
1,alphahout,24.26892816847164,50.061258384169115,81.17195635285236,0.6049730175199323,1.3464658553153128,False
1,pijout,47.702921549660985,67.3231660462037,77.65158930437939,1.6296114529754573,1.018275253228982,False
2,muout,14.471609416215893,32.24482616594337,60.36883585748689,2.4026972603916787,1.0671165404364447,False
2,N1out,7.712532273160284,28.366819527602118,67.48383111003554,8.29294432478378,1.0700485822284027,False
2,Nout,700.0,700.0,700.0,,,False
2,beta0hout,426.0797246906283,606.6540204432205,700.0,0.5128867521047928,0.9998538874374971,True
2,tauhout,185.90071944051672,289.50983475167385,402.2256374702298,2.780424172395015,1.0008911671938954,False
2,alphahout,13.304106966291897,30.439991948739856,58.11579860506983,2.6237412111878546,1.0701243048394289,False
2,pijout,13.82616325459272,32.00417606942501,48.72566663243365,3.4408454860498443,1.0239436229756407,False
3,muout,11.515115337979129,21.252109181597422,34.13195250266996,3.4814489750450517,1.0193856047808643,False
3,N1out,7.03465500689289,15.402952249851728,21.749000039325384,6.059408239957054,1.0069673826427035,False
3,Nout,700.0,700.0,700.0,,,False
3,beta0hout,700.0,700.0,700.0,1.0015942910184297,0.9994673627351688,True
3,tauhout,197.59294710237967,316.03992020842173,431.4340475529959,2.931340593702626,1.0005406355983348,False
3,alphahout,10.91612591171744,20.72584417388128,33.20579435110437,3.597484892963178,1.0226785592796297,False
3,pijout,19.228508882248548,31.2320628232965,39.27582680791248,3.928285368973559,1.008907064624456,False
4,muout,11.415670792497783,25.523899083868617,38.813061160837265,2.895996213877313,1.003413352733346,False
4,N1out,6.08646040865448,10.64377797984566,17.70102852167672,10.451738526815051,1.0395610231929038,False
4,Nout,700.0,700.0,700.0,,,False
4,beta0hout,461.10787457523816,620.3692915250793,700.0,0.9854183091819911,0.9994759648243479,True
4,tauhout,195.33507892218842,285.3207755826648,338.5383315025694,0.6577831592998685,1.0023989935988635,True
4,alphahout,10.664998479570588,20.098395535682297,37.65189260338557,3.0141339427918927,1.0038195547508793,False
4,pijout,42.18029117682958,52.43332760546491,70.54040916290086,0.5301979045112836,1.0676986748021777,False
5,muout,25.160973389735137,33.54656994007568,39.00577776177135,5.15842408310997,1.0071319932636786,False
5,N1out,14.19142740103575,23.209043662694274,28.343898963738052,6.3279738169881306,1.0368778608375533,False
5,Nout,700.0,700.0,700.0,,,False
5,beta0hout,507.27726335294824,618.8324714008776,700.0,1.5440829571402235,0.9993932006504261,True
5,tauhout,84.78476322298219,218.81125962741635,294.43523604709156,2.556833714911555,1.0018174682205305,False
5,alphahout,24.90180464245163,32.273358822947394,37.38077280128399,5.307454960009296,1.0069383436264643,False
5,pijout,17.35133734546909,39.281616213638934,50.55323666680086,1.2430419423435328,1.001337710875419,False
