componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,5,1,0,4,0,0.2,0.0,0.2,,0.21605,
FPC 2,5,2,0,3,0,0.4,0.0,0.4,,0.37489999999999996,
FPC 3,5,2,0,3,0,0.4,0.0,0.4,,0.3659,
FPC 4,5,2,0,3,0,0.4,0.0,0.4,,0.37239999999999995,
FPC 5,5,2,0,3,0,0.4,0.0,0.4,,0.36739999999999995,
