bloque,objetivo,banda,winkler,picp,ee_picp,ace,mpiw,picp_simultaneo
test,curva_suavizada,FAR (IC del modelo AR),2.5413229400738935,0.9275555555555556,0.0017281492594176545,-0.022444444444444378,1.9699463930292238,0.71
test,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.5501509635263115,0.928,0.0017232527382830408,-0.02199999999999991,1.9712457214272376,0.7233333333333334
test,curva_suavizada,PSBPM-FD (predictiva bayesiana),2.373538623311507,0.9332888888888888,0.0016634734578977561,-0.01671111111111112,1.9027839195349758,0.67
test,representacion_fpca,FAR (IC del modelo AR),2.4616493312754377,0.9381333333333334,0.001606088170019486,-0.011866666666666581,1.9699463930292238,0.7866666666666666
test,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.4709730918986743,0.9405777777777777,0.0015760882903694774,-0.00942222222222222,1.9712457214272376,0.82
test,representacion_fpca,PSBPM-FD (predictiva bayesiana),2.2778896512048603,0.9435555555555556,0.001538519766757103,-0.006444444444444364,1.9027839195349758,0.7933333333333333
train,curva_suavizada,FAR (IC del modelo AR),2.2670359171575774,0.9548850574712644,0.000908448895837283,0.004885057471264442,1.969946393029224,0.7614942528735632
train,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.2641290198671773,0.9530268199233717,0.0009260667498069598,0.0030268199233717263,1.9712457214272376,0.7557471264367817
train,curva_suavizada,PSBPM-FD (predictiva bayesiana),2.215091862730862,0.9428160919540229,0.001016284163079299,-0.007183908045977017,1.864201386910643,0.6853448275862069
train,representacion_fpca,FAR (IC del modelo AR),2.1951955595543517,0.9639655172413794,0.0008157454199981019,0.0139655172413794,1.969946393029224,0.8477011494252874
train,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.189552778076074,0.96272030651341,0.0008291841295467844,0.012720306513410051,1.9712457214272376,0.8462643678160919
train,representacion_fpca,PSBPM-FD (predictiva bayesiana),2.120645629321089,0.9537547892720306,0.0009192137154379994,0.0037547892720306564,1.864201386910643,0.8146551724137931
