variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd
fpc_1_lag1,1.0,0.0,0.057666666666666644,0.009899494936611674
fpc_2_lag1,0.06033333333333335,0.02027039439401433,1.0,0.0
