M,metrica,columna,modelo,bloque,minimo,maximo,promedio
1,1. MAE  (L^1),mae_f,(truncamiento FPCA),test,0.2121423226345251,0.3825639862994565,0.27989320116528016
1,1. MAE  (L^1),mae_f,(truncamiento FPCA),train,0.192419786638691,0.34623302605196404,0.26708626535911206
1,1. MAE  (L^1),mae_f,FAR,test,0.31887356290753227,0.633969908807414,0.48356632966922936
1,1. MAE  (L^1),mae_f,FAR,train,0.3251932947085369,0.5975018338566298,0.4506178736817552
1,1. MAE  (L^1),mae_f,GBT,test,0.37052012587383415,0.6720022072159915,0.499570320364806
1,1. MAE  (L^1),mae_f,GBT,train,0.243434126211649,0.42837321588509863,0.33203956765597964
1,1. MAE  (L^1),mae_f,PSBPM-FD,test,0.3273691506473492,0.6303075649444085,0.48431610476007764
1,1. MAE  (L^1),mae_f,PSBPM-FD,train,0.3317088051259073,0.6005446727301571,0.45387671958227294
1,1. MAE  (L^1),mae_f,RF,test,0.3389605032607397,0.6361203699351489,0.4828603193787411
1,1. MAE  (L^1),mae_f,RF,train,0.2764103855826984,0.5428077436144327,0.3880075492212644
1,1. MAE  (L^1),mae_f,media,test,0.34318415830550697,0.6380530049722216,0.49641264558158193
1,1. MAE  (L^1),mae_f,media,train,0.3393513506578184,0.6244480539881365,0.4679894254434913
1,1. MAE  (L^1),mae_f,persistencia,test,0.3446925539961725,0.7275725244237434,0.5519986576994478
1,1. MAE  (L^1),mae_f,persistencia,train,0.3889251575537297,0.6619776429091495,0.5125642621158949
1,2. RMSE (L^2),rmse_f,(truncamiento FPCA),test,0.2714677302193901,0.48823672797285766,0.3557353830472583
1,2. RMSE (L^2),rmse_f,(truncamiento FPCA),train,0.24269177397288288,0.43243477346098336,0.3395677171820999
1,2. RMSE (L^2),rmse_f,FAR,test,0.4136663538786965,0.8286147532779453,0.6285701985476809
1,2. RMSE (L^2),rmse_f,FAR,train,0.41568907043865505,0.7507101058293614,0.5806842059461212
1,2. RMSE (L^2),rmse_f,GBT,test,0.5033921535606922,0.8958379636977141,0.6694311154455422
1,2. RMSE (L^2),rmse_f,GBT,train,0.3147583137952491,0.5160954514950339,0.41507897529988047
1,2. RMSE (L^2),rmse_f,PSBPM-FD,test,0.42398815303856074,0.8205181701549074,0.6310937350088626
1,2. RMSE (L^2),rmse_f,PSBPM-FD,train,0.42508529811794155,0.7476501262188667,0.5850208878274965
1,2. RMSE (L^2),rmse_f,RF,test,0.43845225189990733,0.8231256352132137,0.6312707490525125
1,2. RMSE (L^2),rmse_f,RF,train,0.35525299459703946,0.6757743495261221,0.4938766600163622
1,2. RMSE (L^2),rmse_f,media,test,0.4419967998348899,0.8333213595553709,0.6421591273242717
1,2. RMSE (L^2),rmse_f,media,train,0.4290923435478789,0.7747047501401737,0.594507067999818
1,2. RMSE (L^2),rmse_f,persistencia,test,0.43806765623901683,1.0058446763459037,0.7508779053497052
1,2. RMSE (L^2),rmse_f,persistencia,train,0.5023060047750739,0.8967425264096016,0.6974327042182936
1,3. E_max promedio por curva,linf_medio,(truncamiento FPCA),test,0.47875055855726223,0.7245786667323517,0.5829384105238824
1,3. E_max promedio por curva,linf_medio,(truncamiento FPCA),train,0.41683878469670194,0.6668508416579068,0.5591945786832273
1,3. E_max promedio por curva,linf_medio,FAR,test,0.7954895071589244,1.2712136377154193,1.0087454495107848
1,3. E_max promedio por curva,linf_medio,FAR,train,0.7014821567000706,1.1887022016489992,0.9305438523868835
1,3. E_max promedio por curva,linf_medio,GBT,test,0.7978543161894066,1.2959553606283405,1.0362567326932002
1,3. E_max promedio por curva,linf_medio,GBT,train,0.531603253518435,0.8105079944612775,0.6946792056654245
1,3. E_max promedio por curva,linf_medio,PSBPM-FD,test,0.7958305466337109,1.2690925298806583,1.0148048195563073
1,3. E_max promedio por curva,linf_medio,PSBPM-FD,train,0.7081967712093866,1.1766631948430493,0.9343973395395964
1,3. E_max promedio por curva,linf_medio,RF,test,0.8149199556496077,1.2698520245479614,1.014243550739368
1,3. E_max promedio por curva,linf_medio,RF,train,0.5946426510848973,1.0566364967497088,0.8062032454814733
1,3. E_max promedio por curva,linf_medio,media,test,0.8048504679910248,1.3152919921520183,1.0430343484884794
1,3. E_max promedio por curva,linf_medio,media,train,0.7238282803042673,1.2453249873748815,0.9686064723732918
1,3. E_max promedio por curva,linf_medio,persistencia,test,0.8451582816901742,1.4383322446414788,1.1337159848127436
1,3. E_max promedio por curva,linf_medio,persistencia,train,0.7697712029089715,1.3395298579732375,1.0458725068553179
1,4. E_max peor de la ventana,linf_max,(truncamiento FPCA),test,0.7861270153038201,1.475911749263014,1.1219388028666626
1,4. E_max peor de la ventana,linf_max,(truncamiento FPCA),train,0.8063863338478803,1.3906720718660481,1.127152945232228
1,4. E_max peor de la ventana,linf_max,FAR,test,1.2572207325131461,3.954542963857942,2.323327459565183
1,4. E_max peor de la ventana,linf_max,FAR,train,1.34226548959949,2.701764731041009,2.0784279759386584
1,4. E_max peor de la ventana,linf_max,GBT,test,1.7632933670794375,4.131360229530617,2.7816132041065598
1,4. E_max peor de la ventana,linf_max,GBT,train,0.9954048052817388,1.753134980275166,1.2975464559263288
1,4. E_max peor de la ventana,linf_max,PSBPM-FD,test,1.271424823019853,3.8265757870002552,2.303587051272488
1,4. E_max peor de la ventana,linf_max,PSBPM-FD,train,1.3888659186627432,2.6131521941366853,2.0601273747324513
1,4. E_max peor de la ventana,linf_max,RF,test,1.4007160741766964,3.636313386641631,2.345792375397724
1,4. E_max peor de la ventana,linf_max,RF,train,1.128049593529942,2.3174192823733755,1.6815128020009822
1,4. E_max peor de la ventana,linf_max,media,test,1.3893099052475684,3.494576612128504,2.2785064035086124
1,4. E_max peor de la ventana,linf_max,media,train,1.2905381996820466,2.3157752037675454,1.9176584331947715
1,4. E_max peor de la ventana,linf_max,persistencia,test,1.468350846744543,5.801961340159924,3.208666597736782
1,4. E_max peor de la ventana,linf_max,persistencia,train,1.5883390820327228,4.126527189235681,2.934883369047941
2,1. MAE  (L^1),mae_f,(truncamiento FPCA),test,0.12087844447470775,0.1758548973099743,0.1502199363340131
2,1. MAE  (L^1),mae_f,(truncamiento FPCA),train,0.11746266059376428,0.18902786818622566,0.1469166608824414
2,1. MAE  (L^1),mae_f,FAR,test,0.31887356290753227,0.633969908807414,0.48356632966922936
2,1. MAE  (L^1),mae_f,FAR,train,0.3251932947085369,0.5975018338566298,0.4506178736817552
2,1. MAE  (L^1),mae_f,GBT,test,0.36416455521887786,0.6325483684234868,0.506924960415019
2,1. MAE  (L^1),mae_f,GBT,train,0.155493383773028,0.23457812022245245,0.20214706177744737
2,1. MAE  (L^1),mae_f,PSBPM-FD,test,0.32336055038026257,0.62811927850518,0.4822174353447615
2,1. MAE  (L^1),mae_f,PSBPM-FD,train,0.3247573075713851,0.5908478178797902,0.44980288470143753
2,1. MAE  (L^1),mae_f,RF,test,0.3249201591277072,0.6305309807407965,0.4899084353408244
2,1. MAE  (L^1),mae_f,RF,train,0.2577178230741539,0.4964230149837962,0.3600878907041837
2,1. MAE  (L^1),mae_f,media,test,0.34318415830550697,0.6380530049722216,0.49641264558158193
2,1. MAE  (L^1),mae_f,media,train,0.3393513506578184,0.6244480539881365,0.4679894254434913
2,1. MAE  (L^1),mae_f,persistencia,test,0.3892333123616032,0.8230158659707698,0.5963356507067666
2,1. MAE  (L^1),mae_f,persistencia,train,0.39238663912017824,0.7369469522819622,0.5443615012724408
2,2. RMSE (L^2),rmse_f,(truncamiento FPCA),test,0.1538469115070179,0.22294707594989324,0.1907907953982149
2,2. RMSE (L^2),rmse_f,(truncamiento FPCA),train,0.15047626116181692,0.2418254746857531,0.18738813828622686
2,2. RMSE (L^2),rmse_f,FAR,test,0.4136663538786965,0.8286147532779453,0.6285701985476809
2,2. RMSE (L^2),rmse_f,FAR,train,0.41568907043865505,0.7507101058293614,0.5806842059461212
2,2. RMSE (L^2),rmse_f,GBT,test,0.46995597266448846,0.8842643781640084,0.6799017719688033
2,2. RMSE (L^2),rmse_f,GBT,train,0.1976818435972496,0.29905264319737596,0.255314980322444
2,2. RMSE (L^2),rmse_f,PSBPM-FD,test,0.42122515014208406,0.8219906802512799,0.6304952348932258
2,2. RMSE (L^2),rmse_f,PSBPM-FD,train,0.420594110011162,0.7405859525434083,0.5817458747857626
2,2. RMSE (L^2),rmse_f,RF,test,0.43049293933784993,0.8283473460808654,0.6435336560637542
2,2. RMSE (L^2),rmse_f,RF,train,0.33166605809591515,0.6248135119982143,0.4603119383936681
2,2. RMSE (L^2),rmse_f,media,test,0.4419967998348899,0.8333213595553709,0.6421591273242717
