M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,11.252,29,19.0,30,False
1,1,2,11.0185,30,20.00999999999999,30,True
2,1,1,11.252,29,19.0,30,False
2,1,2,11.0185,30,20.00999999999999,30,True
2,2,1,10.961,30,18.0,30,True
2,2,2,12.0055,25,21.0,30,False
3,1,1,11.252,29,19.0,30,False
3,1,2,11.0185,30,20.00999999999999,30,True
3,2,1,10.961,30,18.0,30,True
3,2,2,12.0055,25,21.0,30,False
3,3,1,9.902,22,17.0,30,False
3,3,2,10.733,25,17.00999999999999,30,False
4,1,1,11.252,29,19.0,30,False
4,1,2,11.0185,30,20.00999999999999,30,True
4,2,1,10.961,30,18.0,30,True
4,2,2,12.0055,25,21.0,30,False
4,3,1,9.902,22,17.0,30,False
4,3,2,10.733,25,17.00999999999999,30,False
4,4,1,11.356,30,19.0,30,True
4,4,2,10.981,27,19.0,30,False
